Date	Opponent	Venue	Result	Attendance
19 August 2001	Manchester United	A	2–3	67,534
22 August 2001	Sunderland	H	2–0	20,197
25 August 2001	Derby County	H	0–0	15,641
9 September 2001	Charlton Athletic	A	1–1	20,451
15 September 2001	Arsenal	H	1–3	20,805
22 September 2001	Leicester City	A	0–0	18,918
30 September 2001	Chelsea	H	1–1	20,197
14 October 2001	Aston Villa	A	0–2	28,579
21 October 2001	Ipswich Town	H	1–1	17,221
27 October 2001	Southampton	H	2–1	18,771
3 November 2001	West Ham United	A	2–0	26,217
17 November 2001	Newcastle United	H	3–1	21,159
24 November 2001	Bolton Wanderers	A	0–0	23,848
2 December 2001	Leeds United	H	0–0	20,918
8 December 2001	Everton	H	2–0	19,338
12 December 2001	Liverpool	A	0–0	37,163
15 December 2001	Tottenham Hotspur	A	0–4	36,054
26 December 2001	Charlton Athletic	H	0–0	17,900
30 December 2001	Manchester United	H	2–3	21,159
2 January 2002	Derby County	A	1–0	28,165
12 January 2002	Middlesbrough	H	2–1	18,975
19 January 2002	Sunderland	A	1–1	45,124
30 January 2002	Ipswich Town	A	0–1	25,156
2 February 2002	Aston Villa	H	0–0	20,041
9 February 2002	Blackburn Rovers	H	2–0	19,580
19 February 2002	Middlesbrough	A	1–2	26,235
23 February 2002	Arsenal	A	1–4	38,029
2 March 2002	Liverpool	H	0–2	21,103
6 March 2002	Chelsea	A	2–3	39,744
16 March 2002	Everton	A	1–2	34,639
24 March 2002	Tottenham Hotspur	H	0–2	15,885
30 March 2002	Southampton	A	1–1	31,616
1 April 2002	West Ham United	H	0–1	19,416
8 April 2002	Newcastle United	A	1–1	50,017
20 April 2002	Leeds United	A	1–0	39,111
23 April 2002	Bolton Wanderers	H	3–0	18,107
27 April 2002	Leicester City	H	0–0	21,106
11 May 2002	Blackburn Rovers	A	0–3	30,487
