Team	Manager	Captain	Kit maker	Shirt sponsor
Arsenal	Arsène Wenger	William Gallas	Nike	Emirates
Aston Villa	Martin O'Neill	Gareth Barry	Nike	32red
Birmingham City	Alex McLeish	Damien Johnson	Umbro	F&C Investments
Blackburn Rovers	Mark Hughes	Ryan Nelsen	Umbro	Bet 24
Bolton Wanderers	Gary Megson	Kevin Davies	Reebok	Reebok
Chelsea	Avram Grant	John Terry	adidas	Samsung Mobile
Derby County	Paul Jewell	Robbie Savage	adidas	Derbyshire Building Society
Everton	David Moyes	Phil Neville	Umbro	Chang Beer
Fulham	Roy Hodgson	Brian McBride	Nike	LG
Liverpool	Rafael Benítez	Steven Gerrard	adidas	Carlsberg
Manchester City	Sven-Goran Eriksson	Richard Dunne	le coq sportif	Thomas Cook.com
Manchester United	Sir Alex Ferguson	Gary Neville	Nike	AIG
Middlesbrough	Gareth Southgate	George Boateng	Erreà	Garmin
Newcastle United	Kevin Keegan	Nicky Butt	adidas	Northern Rock
Portsmouth	Harry Redknapp	Sol Campbell	Canterbury	Oki
Reading	Steve Coppell	Graeme Murty	Puma	Kyocera
Sunderland	Roy Keane	Dean Whitehead	Umbro	boylesports.com
Tottenham Hotspur	Juande Ramos	Ledley King	Puma	Mansion Casino
West Ham United	Alan Curbishley	Lucas Neill	Umbro	XL Airways
Wigan Athletic	Steve Bruce	Mario Melchiot	Umbro	JJB Sports
