Draw	Song	Artist	Panel Points	Televotes	Televote Points	Score	Placing
1	Če zdaj odideš sama	Yuhubanda	0	2557	4	4	11
2	Ne boš se igral	Rebeka Dremelj	0	3698	5	5	10
3	Kralj neba	Polona	3	2220	0	3	12
4	Cry on my shoulders	Natalija Verboten	0	17754	12	12	4
5	Nič ne ustavi me	Monika Pučelj	8	2506	3	11	5
6	Fluid	Alya	4	4436	8	12	3
7	Tvoj glas	Ylenia Zobec	7	1437	0	7	7
8	Junak	Prava stvar	0	1292	0	0	14=
9	Kliše	Rožmarinke	12	4080	6	18	2
10	Plave očij	Regina	1	2446	2	3	13
11	O, ženske, ženske	Tulio Furlanič	6	1556	0	6	8
12	If you	Diona Dim	5	2238	1	6	9
13	Slovo brez mej	Maja Slatinšek	2	4263	7	9	6
14	Stay forever	Platin	10	11046	10	20	1
15	Svet se vrti nazaj	Marijan Novina	0	1595	0	0	14=
