Year	Men's singles	Men's doubles	Women's doubles	Mixed doubles
1985	Heinz Fischer	Heinz Fischer Jeliazko Valkov	Monika Cassens Kerstin Bohn	Thomas Mundt Monika Cassens
1986	Heinz Fischer	Thomas Lund Max Gandrup	Susanne Pedersen Tanja Berg	Thomas Mundt Monika Cassens
1987	Jacek Hankiewicz	Peter Buch Jensen Karsten Wolfgang	Monika Cassens Angela Michalowski	Kai Abraham Petra Michalowsky
1988	Jin Feng	Lin Jian Fu Qiang	Lin Yanfen Zhang Wanling	Li Jian Gao Meifeng
1989	Liang Zhiofang	Yu Lizhi Zheng Shouta	Lin Yanfen Zhang Wanling	Chi Bing Lin Yanfen
1990	Andrey Antropov	Andrey Antropov Nikolai Zuyev	Diana Koleva Hellene Kirkegaard	Nikolai Zuyev Irina Serova
1991	Robert Liljeqvist	Markus Keck Michael Helber	Andrea Findhammer Anne-Katrin Seid	Markus Keck Anne-Katrin Seid
1992	Anatoliy Skripko	Svetoslav Stoyanov Mihail Popov	Nelly Nedjalkova R. Assenova	Svetoslav Stoyanov Raina Tzvetkova
1993	Hannes Fuchs	Mikhail Korschuk Vitaliy Shmakov	Gerasimovich Vlada Chernyavskaya	Vitaliy Shmakov Vlada Chernyavskaya
1994	Hannes Fuchs	Robert Mateusiak Damian Plawecki	Elena Nozdran Victoria Evtuschenko	Vladislav Druzchenko Victoria Evtuschenko
1995	Anders Nielsen	Thomas Reidy Kevin Han	Diana Koleva Nelly Nedjalkova	Vladislav Druzchenko Victoria Evtuschenko
1996 1998	No competition	No competition	No competition	No competition
1999	Kasper Ødum	Joachim Tesche Christian Mohr	Diana Koleva Nelly Nedjalkova	Valerij Streltsov Natalia Golovkina
2000	No competition	No competition	No competition	No competition
2001	Richard Vaughan	Peter Jeffrey Ian Palenthorpe	Liza Parker Suzanne Rayappan	Robert Blair Natalie Munt
2002	Stanislav Pukhov	Stanislav Pukhov Nikolai Zuyev	Natalia Gorodnicheva Marina Yakusheva	Nikolai Zuyev Marina Yakusheva
2003	Shoji Sato	Thomas Roejkjaer Jensen Tommy Sörensen	Petya Nedelcheva Nely Boteva	Dimitry Miznikov Natalia Golovkina
2004	Nathan Rice	Ruben Gordown Aji Basuki Sindoro	Ranga Ingolfsdottir Sra Jonsdottir	Steve Foster Jenny Wallwork
2005	Joachim Fischer Nielsen	Mihail Popov Svetoslav Stoyanov	Petya Nedelcheva Diana Dimova	Vladimir Metodiev Petya Nedelcheva
2006	Sergei Ivlev	Rasmus Mangor Andersen Peter Buur Steffensen	Petya Nedelcheva Diana Dimova	Tim Dettmann Annekatrin Lillie
2007	Jan Fröhlich	Robert Mateusiak Michał Łogosz	Nina Vislova Valeria Sorokina	Alexander Nikolaenko Nina Vislova
2008	Yuichi Ikeda	Vitaliy Durkin Alexandr Nikolaenko	Nina Vislova Valeria Sorokina	Alexandr Nikolaenko Nina Vislova
2009	Rune Ulsing	Kasper Faust Henriksen Anders Kristiansen	Petya Nedelcheva Anastasia Russkikh	Robert Mateusiak Nadieżda Kostiuczyk
2010	Przemyslaw Wacha	Marcus Ellis Peter Mills	Petya Nedelcheva Anastasia Russkikh	Evgeniy Dremin Anastasia Russkikh
2011	Przemyslaw Wacha	Liang Jui-wei Liao Kuan-hao	Heather Olver Mariana Agathangelou	Valeriy Atrashchenkov Anna Kobceva
2012	Kestutis Navickas	Robert Blair Tan Bin Shen	Gabriela Stoeva Stefani Stoeva	Michael Fuchs Birgit Michels
2013	Emil Holst	Lukasz Moren Wojciech Szkudlarczyk	Gabriela Stoeva Stefani Stoeva	Robert Blair Imogen Bankier
