Rank	Heat	Lane	Name	Nationality	Time
1	12	4	Amaury Leveaux	France	21.46
2	11	5	César Cielo	Brazil	21.47
3	12	3	Stefan Nystrand	Sweden	21.75
3	12	5	Ben Wildman-Tobriner	United States	21.75
5	13	3	Roland Mark Schoeman	South Africa	21.76
6	11	1	George Bovell	Trinidad and Tobago	21.77
7	13	5	Alain Bernard	France	21.78
8	13	4	Eamon Sullivan	Australia	21.79
9	11	4	Garrett Weber-Gale	United States	21.95
10	12	7	Rafed El-Masri	Germany	21.96
11	11	7	Nicholas Santos	Brazil	22.00
12	11	3	Duje Draganja	Croatia	22.05
13	13	2	Ashley Callus	Australia	22.11
14	12	6	Krisztián Takács	Hungary	22.14
15	11	6	Bartosz Kizierowski	Poland	22.15
16	12	2	Gideon Louw	South Africa	22.17
17	12	1	Andrey Grechin	Russia	22.20
18	10	4	Jernej Godec	Slovenia	22.21
19	8	4	Flori Lang	Switzerland	22.27
20	9	1	David Dunford	Kenya	22.29
21	13	1	Yevgeny Lagunov	Russia	22.30
22	11	2	Javier Noriega	Spain	22.33
23	13	6	Mark Foster	Great Britain	22.35
23	13	8	Salim Iles	Algeria	22.35
25	9	6	Miko Mälberg	Estonia	22.37
26	10	5	Apostolos Tsagkarakis	Greece	22.39
27	10	6	Richard Hortness	Canada	22.42
28	10	7	Yoris Grandjean	Belgium	22.45
29	10	1	Matti Rajakylä	Finland	22.48
30	9	3	Cai Li	China	22.50
30	9	7	Alessandro Calvi	Italy	22.50
32	10	3	Robert Lijesen	Netherlands	22.51
33	10	2	Jakob Andkjær	Denmark	22.52
34	8	8	Jacinto de Jesus Ayala Benjamin	Dominican Republic	22.57
35	10	8	José Meolans	Argentina	22.58
36	9	2	Andrei Radzionau	Belarus	22.65
37	11	8	Kaan Tayla	Turkey	22.66
38	13	7	Steffen Deibler	Germany	22.67
39	9	8	Daniel Coakley	Philippines	22.69
40	9	5	Virdhawal Khade	India	22.73
41	7	4	Oliver Elliot	Chile	22.75
42	8	3	Yuriy Yegoshin	Ukraine	22.77
43	7	2	Norbert Trandafir	Romania	22.80
44	7	8	Árni Már Árnason	Iceland	22.81
45	7	5	Jevon Atkinson	Jamaica	22.83
45	8	1	Mohammad Madwa	Kuwait	22.83
47	8	6	Jonathan Javier Camacho Riera	Venezuela	22.87
48	7	6	Stanislav Kuzmin	Kazakhstan	22.91
49	9	4	Camilo Becerra	Colombia	22.93
50	8	5	Francisco Picasso	Uruguay	23.01
51	7	3	Martyn Forde	Barbados	23.08
52	8	2	Elvis Burrows	Bahamas	23.19
53	7	1	Joshua Laban	Virgin Islands	23.28
54	12	8	Mohamed El Nady	Egypt	23.92
55	6	4	Yellow Yeiyah	Nigeria	24.00
56	7	7	Vitaly Vasilyev	Kyrgyzstan	24.02
57	6	5	Rodion Davelaar	Netherlands Antilles	24.21
58	8	7	Rolandas Gimbutis	Lithuania	24.36
59	6	6	Anas Hamadeh	Jordan	24.40
60	6	2	Luke Hall	Swaziland	24.41
61	5	7	Alain Brigion Tobe	Cameroon	24.53
62	1	4	Alois Dansou	Benin	24.54
63	5	5	Sidni Hoxha	Albania	24.56
64	1	5	Omar Jasim	Bahrain	24.65
65	5	4	Zane Jordan	Zambia	24.82
66	6	1	Daniel Lee	Sri Lanka	24.92
67	6	7	Chakyl Camal	Mozambique	24.93
68	5	3	Andrey Molchanov	Turkmenistan	25.02
69	6	8	Niall Roberts	Guyana	25.13
70	5	6	Kerson Hadley	Federated States of Micronesia	25.34
71	4	4	Stewart Glenister	American Samoa	25.45
72	5	1	John Kamyuka	Botswana	25.54
73	4	3	Hamse Abdouh	Palestine	25.60
74	5	2	Adil Baig	Pakistan	25.66
75	1	3	Omar Nunez	Nicaragua	26.00
76	5	8	Kouassi Brou	Ivory Coast	26.08
77	4	5	Kyaw Zin	Myanmar	26.17
78	4	6	Tural Abbasov	Azerbaijan	26.31
79	4	1	Hemthon Ponloeu	Cambodia	27.39
80	3	5	Charlton Nyirenda	Malawi	27.46
81	4	7	Prasiddha Jung Shah	Nepal	27.59
82	4	8	Gilbert Kaburu	Uganda	27.72
83	3	3	Jackson Niyomugabo	Rwanda	27.74
84	3	7	Khalid Rushaka	Tanzania	28.50
85	3	6	Dwayne Didon	Seychelles	28.95
86	3	8	Mohamed Coulibaly	Mali	29.09
87	3	1	Alisher Chingizov	Tajikistan	29.10
88	3	2	Ibrahim Shameel	Maldives	29.28
89	3	4	Mamadou Cisse	Guinea	29.29
90	2	3	Thepphithak Chindavong	Laos	29.31
91	6	3	Mohamed Attoumane	Comoros	29.63
92	2	6	Rene Jacob Yougbara	Burkina Faso	30.08
93	4	2	Ahmed Adam	Sudan	30.12
94	2	4	Abdulsalam Al Gadabi	Yemen	30.63
95	2	5	Mohamed Alhousseini Alhassan	Niger	30.90
96	2	2	Kareem Valentine	Antigua and Barbuda	31.23
97	2	7	Stany Kempompo Ngangola	DR Congo	35.19
