Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
5	November 2	Minnesota	W 129–97 (OT)	Dwyane Wade (26)	Udonis Haslem (9)	LeBron James (12)	American Airlines Arena 19,600	4–1
6	November 5	@ New Orleans	L 93–96 (OT)	Dwyane Wade (28)	Dwyane Wade (10)	LeBron James (10)	New Orleans Arena 17,988	4–2
7	November 6	New Jersey	W 101–89 (OT)	Dwyane Wade (29)	Dwyane Wade (10)	LeBron James (9)	American Airlines Arena 19,600	5–2
8	November 9	Utah	L 114–116 (OT)	Dwyane Wade (39)	LeBron James (11)	LeBron James (14)	American Airlines Arena 19,600	5–3
9	November 11	Boston	L 107–112 (OT)	LeBron James (35)	LeBron James , Udonis Haslem (10)	LeBron James (9)	American Airlines Arena 19,650	5–4
10	November 13	Toronto	W 109–100 (OT)	Dwyane Wade (31)	Udonis Haslem (10)	LeBron James (11)	American Airlines Arena 19,600	6–4
11	November 17	Phoenix	W 123–96 (OT)	Chris Bosh (35)	Udonis Haslem (10)	LeBron James (9)	American Airlines Arena 19,600	7–4
12	November 19	Charlotte	W 95–87 (OT)	LeBron James (32)	Chris Bosh (14)	LeBron James (5)	American Airlines Arena 19,600	8–4
13	November 20	@ Memphis	L 95–97 (OT)	LeBron James (29)	Chris Bosh , Žydrūnas Ilgauskas (10)	LeBron James (11)	FedExForum 18,119	8–5
14	November 22	Indiana	L 77–93 (OT)	LeBron James (25)	Chris Bosh (11)	LeBron James (6)	American Airlines Arena 19,600	8–6
15	November 24	@ Orlando	L 95–104 (OT)	LeBron James (25)	Dwyane Wade (7)	Carlos Arroyo , Dwyane Wade (5)	Amway Center 18,936	8–7
16	November 26	Philadelphia	W 99–90 (OT)	Dwyane Wade (23)	Chris Bosh (9)	Dwyane Wade (8)	American Airlines Arena 19,800	9–7
17	November 27	@ Dallas	L 95–106 (OT)	LeBron James (23)	Dwyane Wade (9)	Dwyane Wade (5)	American Airlines Center 20,536	9–8
