Game	Date	Team	Score	High points	High assists	Location Attendance	Record
19	December 3	@ Charlotte	L 97–103 (OT)	Kevin Durant (24)	Earl Watson (11)	Time Warner Cable Arena 11,629	2–17
20	December 5	@ Orlando	L 89–98 (OT)	Russell Westbrook (19)	Russell Westbrook (5)	Amway Arena 16,812	2–18
21	December 6	@ Miami	L 99–105 (OT)	Russell Westbrook (30)	Earl Watson (12)	American Airlines Arena 17,585	2–19
22	December 8	Golden State	L 102–112 (OT)	Kevin Durant (41)	Russell Westbrook , Earl Watson (7)	Ford Center 17,854	2–20
23	December 10	Memphis	L 102–108 (OT)	Kevin Durant (28)	Earl Watson (7)	Ford Center 18,009	2–21
24	December 13	@ Dallas	L 99–103 (OT)	Jeff Green (25)	Russell Westbrook , Earl Watson (6)	American Airlines Center 20,190	2–22
25	December 14	@ San Antonio	L 104–109 (OT)	Jeff Green (33)	Nick Collison (5)	AT&T Center 17,419	2–23
26	December 16	L.A. Clippers	L 88–98 (OT)	Kevin Durant (25)	Earl Watson (12)	Ford Center 18,275	2–24
27	December 19	Toronto	W 91–83 (OT)	Kevin Durant (26)	Russell Westbrook (8)	Ford Center 18,806	3–24
28	December 21	Cleveland	L 91–102 (OT)	Kevin Durant (26)	Russell Westbrook (11)	Ford Center 19,136	3–25
29	December 23	@ Atlanta	L 88–99 (OT)	Kevin Durant (28)	Earl Watson (7)	Philips Arena 12,138	3–26
30	December 26	@ Detroit	L 88–90 (OT)	Kevin Durant (26)	Earl Watson (6)	The Palace of Auburn Hills 22,076	3–27
31	December 27	@ Washington	L 95–104 (OT)	Kevin Durant (25)	Earl Watson (6)	Verizon Center 16,181	3–28
32	December 29	Phoenix	L 102–110 (OT)	Russell Westbrook (31)	Russell Westbrook (5)	Ford Center 19,136	3–29
33	December 31	Golden State	W 107–100 (OT)	Jeff Green (26)	Kevin Durant , Earl Watson (6)	Ford Center 18,229	4–29
