Station (and code)	Managed by	Lines served	Station users 2007/8	Station users 2008/9	Year opened	Platforms	Borough
Altrincham (ALT)	Northern Rail	Mid-Cheshire Line	282958	263110	1881	2 [b ]	Trafford
Ardwick (ADK)	Northern Rail	Glossop Line Hope Valley Line	479	576	1842	2	Manchester
Ashburys (ABY)	Northern Rail	Glossop Line Hope Valley Line	45418	66576	1846	2	Manchester
Ashton-under-Lyne (AHN)	Northern Rail	Huddersfield Line	344041	451130	1846	2	Tameside
Atherton (ATN)	Northern Rail	Manchester to Southport Line	239276	369564	1888	2	Wigan
Belle Vue (BLV)	Northern Rail	Hope Valley Line	9470	11744	1875	2	Manchester
Blackrod (BLK)	Northern Rail	Manchester to Preston Line	246014	388282	1841	2	Bolton
Bramhall (BML)	Northern Rail	Stafford to Manchester Line	165544	234772	1845	2	Stockport
Bredbury (BDY)	Northern Rail	Hope Valley Line	109355	157228	1875	2	Stockport
Brinnington (BNT)	Northern Rail	Hope Valley Line	52305	62032	1977	2	Stockport
Broadbottom (BDB)	Northern Rail	Glossop Line	98055	122060	1842	2	Tameside
Bromley Cross (BMC)	Northern Rail	Ribble Valley Line	221853	316052	1848	2	Bolton
Bryn (BYN)	Northern Rail	Liverpool to Wigan Line	90250	112940	1869	2	Wigan
Burnage (BNA)	Northern Rail	South TransPennine Styal Line	119943	144980	1910	2	Manchester
Castleton (CAS)	Northern Rail	Caldervale Line Oldham Loop Line	100345	122810	1875	2	Rochdale
Chassen Road (CSR)	Northern Rail	Manchester to Liverpool Line	30134	34466	1934	2	Trafford
Clifton (CLI)	Northern Rail	Manchester to Preston Line	152	250	1847	2	Salford
Daisy Hill (DSY)	Northern Rail	Manchester to Southport Line	115652	210262	1888	2	Bolton
Davenport (DVN)	Northern Rail	Buxton Line Hope Valley Line	183465	208820	1858	2	Stockport
Denton (DTN)	Northern Rail	Stockport to Stalybridge Line	53	56	1851	2	Tameside
East Didsbury (EDY)	Northern Rail	South TransPennine Styal Line	213932	266606	1909	2	Manchester
Eccles (ECC)	Northern Rail	Liverpool to Manchester Lines	73523	100938	1830	2	Salford
Fairfield (FRF)	Northern Rail	Hope Valley Line	6998	9010	1841	2	Tameside
Farnworth (FNW)	Northern Rail	Manchester to Preston Line	23830	33982	1838	2	Bolton
Flixton (FLI)	Northern Rail	Liverpool to Manchester Lines	60025	70524	1873	2	Trafford
