Pick	Player	Team	Position	Hometown/School
1	Ron Blomberg	New York Yankees	1B	Atlanta, GA
2	Terry Hughes	Chicago Cubs	SS	Spartanburg, SC
3	Mike Garman	Boston Red Sox	RHP	Caldwell, ID
4	Jon Matlack	New York Mets	LHP	West Chester, PA
5	John Jones	Washington Senators	C	St. Joseph, TN
6	John Mayberry	Houston Astros	1B	Detroit, MI
7	Brian Bickerton	Oakland Athletics	LHP	Santee, CA
8	Wayne Simpson	Cincinnati Reds	RHP	Los Angeles, CA
9	Mike Nunn	California Angels	C	Greensboro, NC
10	Ted Simmons	St. Louis Cardinals	C	Southfield, MI
11	Jack Heidemann	Cleveland Indians	SS	Brenham, TX
12	Andrew Finlay	Atlanta Braves	OF	Sacramento, CA
13	Dan Haynes	Chicago White Sox	3B	East Point, GA
14	Phil Meyer	Philadelphia Phillies	LHP	Downey, CA
15	Jim Foor	Detroit Tigers	LHP	Ferguson, MO
16	Joe Grigas	Pittsburgh Pirates	OF	Brockton, MA
17	Steve Brye	Minnesota Twins	3B-OF	Oakland, CA
18	Dave Rader	San Francisco Giants	C	Bakersfield, CA
19	Bobby Grich	Baltimore Orioles	SS	Long Beach, CA
20	Don Denbow	Los Angeles Dodgers	3B	Southern Methodist University
