Date	Name	Nationality	Tonnage (GRT)	Fate
19 February 1942	British Consul	United Kingdom	6,940	Damaged
19 February 1942	Mokihana	USA	7,460	Damaged
21 February 1942	Circe Shell	United Kingdom	8,207	Sunk
23 February 1942	Lihue	USA	7,001	Sunk
7 March 1942	Uniwaleco	South Africa	9,755	Sunk
10 March 1942	Lady Nelson	Canada	7,970	Damaged
10 March 1942	Umtata	United Kingdom	8,141	Damaged
14 March 1942	Sarniadoc	Canada	1,940	Sunk
15 March 1942	USCGCAcacia	USA	1,130	Sunk
16 June 1942	Nueva Altagracia	Dominican Republic	30	Sunk
22 June 1942	E.J. Sadler	USA	9,639	Sunk
3 July 1942	San Pablo	Panama	3,305	Total loss
16 July 1942	Fairport	USA	6,165	Sunk
23 October 1942	HMSPhoebe	United Kingdom	5,450	Damaged
8 November 1942	Bonalder	United Kingdom	5,161	Damaged
8 November 1942	West Humhaw	USA	5,527	Sunk
29 November 1942	Tjilboet	Netherlands	5,760	Sunk
12 December 1942	Ripley	United Kingdom	4,997	Sunk
19 May 1943	Angelus	Canada	255	Sunk
20 September 1943	St. Usk	United Kingdom	5,472	Sunk
26 September 1943	Itapagé	Brazil	4,998	Sunk
