Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
1985	1	0	0	0	0	16.0	14.0	$2,925	101st	#07 Bob Johnson Racing
1986	1	0	0	0	0	20.0	29.0	$1,815	107th	#07 Bob Johnson Racing
1988	1	0	0	0	0	29.0	37.0	$1,460	97th	#74 Wawak Racing
1989	1	0	0	0	0	32.0	28.0	$2,725	83rd	#63 Linro Motorsports
1990	2	0	0	0	0	33.0	35.5	$6,675	73rd	#13 Linro Motorsports
1994	3	0	0	0	0	20.3	19.7	$30,565	48th	#20 Moroso Racing #02 T.W. Taylor
1995	14	0	0	0	0	29.4	27.4	$281,945	40th	#22 Bill Davis Racing #40 Brooks/SABCO Racing
1998	9	0	1	3	0	25.3	26.2	$336,905	49th	#50 Hendrick Motorsports
1999	2	0	0	0	0	19.0	38.5	$71,200	61st	#14 No Fear Racing
2004	3	0	0	0	0	41.0	40.3	$160,261	68th	#80 Hover Motorsports #98 Mach 1 Motorsports
