Date	Visitor	Score	Home	Record
January 2	Vancouver	1 - 3	New Jersey	8-25-7
January 5	Toronto	4 - 4	New Jersey	8-25-8
January 7	Boston	2 - 2	New Jersey	8-25-9
January 9	New Jersey	3 - 4	NY Rangers	8-26-9
January 10	Quebec	2 - 6	New Jersey	9-26-9
January 13	NY Islanders	5 - 2	New Jersey	9-27-9
January 15	New Jersey	1 - 2	Hartford	9-28-9
January 16	Los Angeles	3 - 5	New Jersey	10-28-9
January 19	New Jersey	1 - 1	Pittsburgh	10-28-10
January 20	St. Louis	3 - 3	New Jersey	10-28-11
January 23	New Jersey	1 - 3	Washington	10-29-11
January 25	New Jersey	1 - 5	Philadelphia	10-30-11
January 29	New Jersey	4 - 6	Quebec	10-31-11
January 31	Pittsburgh	2 - 3	New Jersey	11-31-11
