Rank	Nation	Gold	Silver	Bronze	Total
1	Italy	18	13	18	49
2	Russia	17	23	13	53
3	France	16	11	13	40
4	Germany	15	7	8	30
5	China	14	6	2	22
6	United States	11	4	4	19
7	Ukraine	9	10	9	28
8	Colombia	8	13	10	31
9	Great Britain	6	6	3	15
10	Chinese Taipei	5	5	8	18
11	Brazil	5	3	1	9
12	Japan	5	1	4	10
13	Switzerland	4	4	0	8
14	Denmark	3	2	2	7
15	Sweden	3	1	5	9
16	Belarus	3	1	3	7
16	Mexico	3	1	3	7
18	Netherlands	2	6	5	13
19	Belgium	2	4	4	10
20	Spain	2	4	2	8
21	Chile	2	3	0	5
21	Poland	2	3	0	5
21	Romania	2	3	0	5
24	Slovenia	2	1	0	3
25	Finland	2	0	0	2
26	South Korea	1	2	6	9
27	Austria	1	2	3	9
28	Hungary	1	2	0	3
28	New Zealand	1	2	0	3
30	Croatia	1	1	2	4
30	Venezuela	1	1	2	4
32	Vietnam	1	1	0	2
33	South Africa	1	0	3	4
34	Azerbaijan	1	0	1	2
34	Lithuania	1	0	1	2
34	Mogolia	1	0	1	2
37	India	1	0	0	1
37	Malaysia	1	0	0	1
37	Moldova	1	0	0	1
37	Turkey	1	0	0	1
41	Canada	0	3	6	9
42	Norway	0	3	4	7
43	Argentina	0	3	2	5
43	Egypt	0	3	2	5
43	Thailand	0	3	2	5
46	Czech Republic	0	2	1	3
47	Australia	0	1	3	4
48	Ecuador	0	1	2	3
48	Portugal	0	1	2	3
50	Greece	0	1	1	2
50	Iran	0	1	1	2
52	Luxembourg	0	1	0	1
53	El Salvador	0	0	1	1
53	Ireland	0	0	1	1
53	Israel	0	0	1	1
53	Morocco	0	0	1	1
53	Peru	0	0	1	1
53	Philippines	0	0	1	1
53	Serbia	0	0	1	1
Total	Total	176	169	169	514
