District	Incumbent	Party	Elected	Status	2010 Candidates
1	Jay Neal	Republican	2004	Re-elected	Jay Neal (R) unopposed
2	Martin Scott	Republican	2004	Re-elected	Martin Scott (R) unopposed
3	Tom Weldon, Jr.	Republican	2008	Re-elected	Tom Weldon, Jr. (R) unopposed
4	Roger Williams	Republican	2001	Re-elected	Roger Williams (R) unopposed
5	John Meadows, III	Republican	2004	Re-elected	John Meadows, III (R) unopposed
6	Tom Dickson	Republican	2004	Re-elected	Tom Dickson (R) 77.38% Tommy Patterson (D) 22.62%
7	David Ralston	Republican	2002	Re-elected	David Ralston (R) unopposed
8	Stephen Allison	Republican	2008	Re-elected	Stephen Allison (R) 63.95% Jack Lance (D) 36.05%
9	Amos Amerson	Republican	2000	Re-elected	Amos Amerson (R) unopposed
10	Rick Austin	Republican	2008	Re-elected	Rick Austin (R) unopposed
11	Barbara Reece	Democratic	1998	Re-elected	Barbara Reece (D) unopposed
12	Rick Jasperse	Republican	2010	Re-elected	Rick Jasperse (R) 85.94% Jerry Nally (D) 14.06%
13	Katie Dempsey	Republican	2006	Re-elected	Katie Dempsey (R) 64.64% Bonny Askew (D) 35.36%
14	Barry Loudermilk	Republican	2004	Retired; Republican hold	Christian Coomer (R) 78.54% Dan Ledford (D) 21.46%
15	Paul Battles	Republican	2008	Re-elected	Paul Battles (R) unopposed
16	Rick Crawford	Democratic	2006	Re-elected	Rick Crawford (D) unopposed
17	Howard Maxwell	Republican	2002	Re-elected	Howard Maxwell (R) unopposed
18	Mark Butler	Republican	2002	Retired; Republican hold	Kevin Cooke (R) unopposed
19	Daniel Stout	Republican	2010	Defeated in primary; Republican hold	Paulette Braddock (R) 65.63% Will Avery (D) 21.46%
21	Calvin Hill	Republican	2002	Re-elected	Calvin Hill (R) 84.87% Stephanie Webb (D) 15.13%
22	Sean Jerguson	Republican	2006	Re-elected	Sean Jerguson (R) 79.70% Bill Brown (D) 20.30%
23	Mark Hamilton	Republican	2006	Re-elected	Mark Hamilton (R) unopposed
24	Tom Knox	Republican	2000	Retired; Republican hold	Mike Dudgeon (R) unopposed
25	James Mills	Republican	1992	Re-elected	James Mills (R) 84.06% Mike Parker (D) 15.94%
26	Carl W. Rogers	Republican	1994	Re-elected	Carl W. Rogers (R) 71.02% Chad Cobb (D) 28.98%
27	Doug Collins	Republican	2006	Re-elected	Doug Collins (R) unopposed
28	Michael Harden	Republican	2008	Re-elected	Michael Harden (R) 73.95% Chris Irvin (D) 26.05%
29	Alan Powell	Democratic	1990	Re-elected	Alan Powell (D) unopposed
