Spoofed Title	Actual Title	Writer	Artist	Issue	Date
The Ghost and the Mrs. Misses	The Ghost & Mrs. Muir	Dick DeBartolo	Mort Drucker	134	April 1970
Then Came Bombsome	Then Came Bronson	Dick DeBartolo	Angelo Torres	135	June 1970
Room 222ZZZZZZzzzzzzzzz	Room 222	Stan Hart	Angelo Torres	136	July 1970
Makeus Sickby M.D.	Marcus Welby, M.D.	Dick DeBartolo	Angelo Torres	137	September 1970
Ironride	Ironside	Lou Silverstone	Angelo Torres	139	December 1970
The Doris Daze Show	The Doris Day Show	Stan Hart	Angelo Torres	140	January 1971
How-Are-Ya-Five-O?	Hawaii Five-O	Dick DeBartolo	Angelo Torres	141	March 1971
My Three Sonny Boys	My Three Sons	Arnie Kogen	Angelo Torres	142	April 1971
The Game is Inane	The Name of the Game	Lou Silverstone	Angelo Torres	143	June 1971
The F.I.B.	The F.B.I.	Dick DeBartolo	Angelo Torres	144	July 1971
Reality Street	Sesame Street	Dick DeBartolo	Jack Davis	146	October 1971
Gall in the Family Fare	All in the Family	Larry Siegel	Angelo Torres	147	December 1971
Messy's Thanksgiving Day Parade	Macy's Thanksgiving Day Parade	Dick DeBartolo	Angelo Torres	148	January 1972
The Putrid Family	The Partridge Family	Arnie Kogen	Angelo Torres	150	April 1972
Miracle Center	Medical Center	Dick DeBartolo	Angelo Torres	151	June 1972
Manic	Mannix	Lou Silverstone	Angelo Torres	152	July 1972
Longshot	Longstreet	Stan Hart	Angelo Torres	153	September 1972
The Mary Tailor-Made Show	The Mary Tyler Moore Show	Tom Koch	Angelo Torres	155	December 1972
Clodumbo	Columbo	Lou Silverstone	Angelo Torres	156	January 1973
The Funny & Glare Show	The Sonny & Cher Show	Dick DeBartolo	Angelo Torres	157	March 1973
Owem Marshmallow, Attorney at Law	Owen Marshall: Counselor at Law	Lou Silverstone	Angelo Torres	159	June 1973
Cannonball	Cannon	Dick DeBartolo	Jack Davis	160	July 1973
Idjit Loves Ernie	Bridget Loves Bernie	Arnie Kogen	Angelo Torres	161	September 1973
Bawde	Maude	Tom Koch	Angelo Torres	162	October 1973
Kung Fool	Kung Fu	Dick DeBartolo	Mort Drucker	164	January 1974
The Dulltons	The Waltons	Lou Silverstone	Angelo Torres	165	March 1974
M*A*S*H*UGA	M*A*S*H	Stan Hart	Angelo Torres	166	April 1974
The Straights of San Francisco	The Streets of San Francisco	Dick DeBartolo	Angelo Torres	167	June 1974
McClod	McCloud	Lou Silverstone	Angelo Torres	169	September 1974
The Rookers	The Rookies	Dick DeBartolo	Angelo Torres	171	December 1974
The Six Million Dollars, Man!	The Six Million Dollar Man	Lou Silverstone	Angelo Torres	172	January 1975
Kojerk	Kojak	Arnie Kogen	Angelo Torres	173	March 1975
Barnacle Groans	Barnaby Jones	Tom Koch	Angelo Torres	175	June 1975
Cheeko and the Ham	Chico and the Man	Stan Hart	Angelo Torres	177	September 1975
Good Time-Slot	Good Times	Larry Siegel	Angelo Torres	182	April 1976
Barfetta	Baretta	Lou Silverstone	Angelo Torres	183	June 1976
Rhota	Rhoda	Arnie Kogen	Angelo Torres	184	July 1976
Harsky & Stutch	Starsky & Hutch	Lou Silverstone	Angelo Torres	185	September 1976
Phoolish	Phyllis	Larry Siegel	Angelo Torres	186	October 1976
Crappy Days	Happy Days	Arnie Kogen	Angelo Torres	187	December 1976
The Moronic Woman	The Bionic Woman	Dick DeBartolo	Mort Drucker	188	January 1977
Welcome Back, Klodder	Welcome Back Kotter	Lou Silverstone	Angelo Torres	189	March 1977
One Dame at a Time	One Day at a Time	Larry Siegel	Angelo Torres	190	April 1977
The Jazzyslums	The Jeffersons	Stan Hart	Angelo Torres	191	June 1977
Churlie's Angles	Charlie's Angels	Lou Silverstone	Angelo Torres	193	September 1977
Lavoine & Shoiley	Laverne & Shirley	Lou Silverstone	Angelo Torres	194	October 1977
Blarney Miller	Barney Miller	Stan Hart	Angelo Torres	195	December 1977
He's Company	Three's Company	Arnie Kogen	Angelo Torres	196	January 1978
Little House Oh, So Dreary	Little House on the Prairie	Dick DeBartolo	Angelo Torres	197	March 1978
Alas	Alice	Lou Silverstone	Angelo Torres	198	April 1978
What Happened?	What's Happening	Lou Silverstone	Angelo Torres	199	June 1978
The Dummy & Mareek Show	The Donny & Marie Show	Dick DeBartolo	Angelo Torres	200	July 1978
Eight is Too Rough	Eight is Enough	Lou Silverstone	Angelo Torres	201	September 1978
Lust Boat	The Love Boat	Dick DeBartolo	Angelo Torres	202	October 1978
Fantasy "Buy"land	Fantasy Island	Lou Silverstone	Angelo Torres	203	December 1978
The Incredible Bulk	The Incredible Hulk	Lou Silverstone	Angelo Torres	204	January 1979
Lou Grouch	Lou Grant	Tom Koch	Angelo Torres	205	March 1979
Reject UFO	Project UFO	Dick DeBartolo	Angelo Torres	207	June 1979
Cattle Car Galaxica	Battlestar Galactica	Dick DeBartolo	Angelo Torres	208	July 1979
Shmork & Windy	Mork & Mindy	Lou Silverstone Dick DeBartolo	Angelo Torres	209	September 1979
Sixty Seconds	Sixty Minutes	Lou Silverstone	Jack Davis	210	October 1979
Vague-$	Vega$	Dick DeBartolo	Angelo Torres	210	October 1979
CHiMPs	CHiPs	Lou Silverstone	Angelo Torres	211	December 1979
