Driver	Car #	Make	Points	Laps	Winnings
Tony Stewart	20	Chevrolet	190	500	$220,786
Jeff Gordon	24	Chevrolet	170	500	$153,461
Jimmie Johnson	48	Chevrolet	170	500	$150,361
Dale Earnhardt Jr.	8	Chevrolet	160	500	$133,416
Kyle Busch	5	Chevrolet	155	500	$98,400
Elliott Sadler	38	Ford	150	500	$120,808
Kevin Harvick	29	Chevrolet	146	500	$115,011
Brian Vickers	25	Chevrolet	142	500	$85,350
Jamie McMurray	26	Ford	143	500	$122,675
Scott Riggs	10	Dodge	134	500	$76,700
Kurt Busch	2	Dodge	130	500	$111,683
Reed Sorenson *	41	Dodge	127	500	$85,925
Mark Martin	6	Ford	124	500	$90,575
Sterling Marlin	14	Chevrolet	126	500	$92,083
Dale Jarrett	88	Ford	123	500	$106,825
Carl Edwards	99	Ford	115	500	$89,100
Dave Blaney	22	Dodge	112	499	$89,233
Ryan Newman	12	Dodge	109	498	$114,358
Martin Truex Jr. *	1	Chevrolet	106	498	$94,208
J.J. Yeley *	18	Chevrolet	108	497	$109,125
Tony Raines	96	Chevrolet	100	497	$67,850
Clint Bowyer *	7	Chevrolet	97	496	$84,250
Joe Nemechek	1	Chevrolet	94	495	$98,245
Matt Kenseth	17	Ford	91	493	$113,491
Jeff Green	66	Chevrolet	88	491	$90,483
Jeremy Mayfield	19	Dodge	85	462	$100,066
Casey Mears	42	Dodge	82	456	$103,918
Scott Wimmer	4	Chevrolet	79	451	$69,460
Michael Waltrip	55	Dodge	76	445	$78,722
Kyle Petty	45	Dodge	73	439	$77,550
Greg Biffle	16	Ford	70	436	$86,100
Bobby Labonte	43	Dodge	67	429	$105,211
Jeff Burton	31	Chevrolet	64	426	$92,845
Travis Kvapil	32	Chevrolet	61	403	$65,425
Kasey Kahne	9	Dodge	58	374	$102,889
Chad Chaffin	34	Chevrolet	55	345	$65,325
Denny Hamlin *	11	Chevrolet	52	307	$65,250
David Stremme *	40	Dodge	49	299	$73,200
Stanton Barrett	95	Chevrolet	46	280	$65,140
Ken Schrader	21	Ford	43	164	$92,279
Mike Garvey	151	Chevrolet	PE	93	$65,015
Chad Blount	92	Dodge	37	92	$64,960
Robby Gordon	7	Chevrolet	34	7	$64,384
