Year	Theme	Artist	Mintage	Issue Price	Special Notes
2007	Calgary Flames	N/A	N/A	15.95	From Coin and Puck Set
2007	Calgary Flames	N/A	832	24.95	From Calgary Flames Gift Set
2007	Edmonton Oilers	N/A	N/A	15.95	From Coin and Puck Set
2007	Edmonton Oilers	N/A	2213	24.95	From Edmonton Oilers Gift Set
2007	Montreal Canadiens	N/A	N/A	15.95	From Coin and Puck Set
2007	Montreal Canadiens	N/A	2952	24.95	From Montreal Canadiens Gift Set
2007	Ottawa Senators	N/A	N/A	15.95	From Coin and Puck Set
2007	Ottawa Senators	N/A	1634	24.95	From Ottawa Senators Gift Set
2007	Toronto Maple Leafs	N/A	N/A	15.95	From Coin and Puck Set
2007	Toronto Maple Leafs	N/A	3527	24.95	From Toronto Maple Leafs Gift Set
2007	Vancouver Canucks	N/A	N/A	15.95	From Coin and Puck Set
2007	Vancouver Canucks	N/A	1264	24.95	From Vancouver Canucks Gift Set
