City	Country	Continent	Summer	Winter	Season	Year
Athens	Greece	Europe	S005 I	—	Summer	1896
Paris	France	Europe	S005 II	—	Summer	1900
St. Louis	United States	North America	S005 III	—	Summer	1904
Athens	Greece	Europe	S005 [f ]	—	Summer	1906
London	United Kingdom	Europe	S005 IV	—	Summer	1908
Stockholm	Sweden	Europe	S005 V	—	Summer	1912
Berlin	Germany	Europe	S006 VI	—	Summer	1916
Antwerp	Belgium	Europe	S007 VII	—	Summer	1920
Chamonix	France	Europe	—	W001 I	Winter	1924
Paris	France	Europe	S008 VIII	—	Summer	1924
St. Moritz	Switzerland	Europe	—	W002 II	Winter	1928
Amsterdam	Netherlands	Europe	S009 IX	—	Summer	1928
Lake Placid	United States	North America	—	W003 III	Winter	1932
Los Angeles	United States	North America	S010 X	—	Summer	1932
Garmisch-Partenkirchen	Germany	Europe	—	W004 IV	Winter	1936
Berlin	Germany	Europe	S011 XI	—	Summer	1936
Sapporo	Japan	Asia	—	W005a V	Winter	1940
Tokyo	Japan	Asia	S012 XII	—	Summer	1940
Cortina d'Ampezzo	Italy	Europe	—	W005b V	Winter	1944
London	United Kingdom	Europe	S013 XIII	—	Summer	1944
St. Moritz	Switzerland	Europe	—	W005c V	Winter	1948
London	United Kingdom	Europe	S014 XIV	—	Summer	1948
Oslo	Norway	Europe	—	W006 VI	Winter	1952
Helsinki	Finland	Europe	S015 XV	—	Summer	1952
Cortina d'Ampezzo	Italy	Europe	—	W007 VII	Winter	1956
Melbourne Stockholm [c ]	Australia Sweden	Oceania Europe	S016 XVI	—	Summer	1956
Squaw Valley	United States	North America	—	W008 VIII	Winter	1960
Rome	Italy	Europe	S017 XVII	—	Summer	1960
Innsbruck	Austria	Europe	—	W009 IX	Winter	1964
Tokyo	Japan	Asia	S018 XVIII	—	Summer	1964
Grenoble	France	Europe	—	W010 X	Winter	1968
Mexico City	Mexico	North America	S019 XIX	—	Summer	1968
Sapporo	Japan	Asia	—	W011 XI	Winter	1972
Munich	West Germany	Europe	S020 XX	—	Summer	1972
Innsbruck	Austria	Europe	—	W012 XII	Winter	1976
Montreal	Canada	North America	S021 XXI	—	Summer	1976
Lake Placid	United States	North America	—	W013 XIII	Winter	1980
Moscow	Soviet Union	Europe [d ]	S022 XXII	—	Summer	1980
Sarajevo	Yugoslavia	Europe	—	W014 XIV	Winter	1984
Los Angeles	United States	North America	S023 XXIII	—	Summer	1984
Calgary	Canada	North America	—	W015 XV	Winter	1988
Seoul	South Korea	Asia	S024 XXIV	—	Summer	1988
Albertville	France	Europe	—	W016 XVI	Winter	1992
Barcelona	Spain	Europe	S025 XXV	—	Summer	1992
Lillehammer	Norway	Europe	—	W017 XVII	Winter	1994
Atlanta	United States	North America	S026 XXVI	—	Summer	1996
Nagano	Japan	Asia	—	W018 XVIII	Winter	1998
Sydney	Australia	Oceania	S027 XXVII	—	Summer	2000
Salt Lake City	United States	North America	—	W019 XIX	Winter	2002
Athens	Greece	Europe	S028 XXVIII	—	Summer	2004
Turin	Italy	Europe	—	W020 XX	Winter	2006
Beijing [e ]	China	Asia	S029 XXIX	—	Summer	2008
Vancouver	Canada	North America	—	W021 XXI	Winter	2010
London	United Kingdom	Europe	S030 XXX	—	Summer	2012
Sochi	Russia	Europe [d ]	—	W022 XXII	Winter	2014
Rio de Janeiro	Brazil	South America	S031 XXXI	—	Summer	2016
Pyeongchang	South Korea	Asia	—	W023 XXIII	Winter	2018
Tokyo	Japan	Asia	S032 XXXII	—	Summer	2020
