Team	Average	Points	Played	1991-92	1992-93	1993-94
River Plate	1.281	146	114	55	46	45
Boca Juniors	1.228	140	114	50	48	42
Vélez Sársfield	1.175	134	114	48	48	38
Independiente	1.096	125	114	36	41	48
Huracán	1.088	124	114	38	43	43
San Lorenzo	1.079	123	114	34	45	44
Banfield	1.053	40	38	N/A	N/A	40
Deportivo Español	1.035	118	114	45	41	32
Lanús	1.026	78	76	N/A	37	41
Racing Club	1.026	117	114	39	36	42
Gimnasia de La Plata	0.982	112	114	41	34	37
Rosario Central	0.974	111	114	34	39	38
Ferro Carril Oeste	0.965	110	114	37	38	35
Belgrano de Córdoba	0.947	108	114	35	38	35
Platense	0.947	108	114	42	28	38
Newell's Old Boys	0.921	105	114	44	25	36
Argentinos Juniors	0.912	104	114	35	33	36
Deportivo Mandiyú	0.877	100	114	33	37	30
Estudiantes de La Plata	0.851	97	114	29	38	30
Gimnasia y Tiro	0.789	30	38	N/A	N/A	30
