Stage	Date	Course	Distance	Winner	Race Leader
1	17 May	Messina to Catania	km (mi)	Michele Mara ( ITA )	Michele Mara ( ITA )
2	18 May	Catania to Palermo	km (mi)	Leonida Frascarelli ( ITA )	Antonio Negrini ( ITA )
3	20 May	Palermo to Messina	km (mi)	Luigi Marchisio ( ITA )	Luigi Marchisio ( ITA )
4	22 May	Reggio Calabria to Catanzaro	km (mi)	Luigi Marchisio ( ITA )	Luigi Marchisio ( ITA )
5	23 May	Catanzaro to Cosenza	km (mi)	Domenico Piemontesi ( ITA )	Luigi Marchisio ( ITA )
6	25 May	Cosenza to Salerno	km (mi)	Allegro Grandi ( ITA )	Luigi Marchisio ( ITA )
7	27 May	Salerno to Naples	km (mi)	Raffaele Di Paco ( ITA )	Luigi Marchisio ( ITA )
8	28 May	Naples to Rome	km (mi)	Learco Guerra ( ITA )	Luigi Marchisio ( ITA )
9	30 May	Rome to Teramo	km (mi)	Michele Mara ( ITA )	Luigi Marchisio ( ITA )
10	31 May	Teramo to Ancona	km (mi)	Michele Mara ( ITA )	Luigi Marchisio ( ITA )
11	2 June	Ancona to Forlì	km (mi)	Learco Guerra ( ITA )	Luigi Marchisio ( ITA )
12	3 June	Forlì to Rovigo	km (mi)	Michele Mara ( ITA )	Luigi Marchisio ( ITA )
13	5 June	Rovigo to Asiago	km (mi)	Antonio Pesenti ( ITA )	Luigi Marchisio ( ITA )
14	6 June	Asiago to Brescia	km (mi)	Leonida Frascarelli ( ITA )	Luigi Marchisio ( ITA )
15	8 June	Brescia to Milan	km (mi)	Michele Mara ( ITA )	Luigi Marchisio ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)	km (mi)
