Rank	Stadium	Capacity	Location	Home Team
1.	Michigan Stadium	109,901 [ unreliable source? ]	Ann Arbor , MI	Michigan Wolverines
2.	Beaver Stadium	106,672	University Park , PA	Penn State Nittany Lions
3.	Neyland Stadium	102,455	Knoxville , TN	Tennessee Volunteers
4.	Ohio Stadium	102,329	Columbus , OH	Ohio State Buckeyes
5.	Bryant-Denny Stadium	101,119	Tuscaloosa , AL	Alabama Crimson Tide
6.	Texas Memorial Stadium	100,119	Austin , TX	Texas Longhorns
7.	Rose Bowl	94,392	Pasadena , CA	UCLA Bruins
8.	Los Angeles Memorial Coliseum	93,607	Los Angeles , CA	USC Trojans
9.	Sanford Stadium	92,746	Athens , GA	Georgia Bulldogs
10.	Tiger Stadium	92,542	Baton Rouge , LA	LSU Tigers
