Year	Division	League	Regular Season	Playoffs	Open Cup
1998	4	USISL PDSL	3rd, Southeast	Division Semifinals	Did not qualify
1999	4	USL PDL	5th, Southeast	Did not qualify	Did not qualify
2000	4	USL PDL	2nd, Southeast	Conference Semifinals	Did not qualify
2001	4	USL PDL	3rd, Southeast	Did not qualify	Did not qualify
2002	4	USL PDL	2nd, Southeast	National Semifinals	Did not qualify
2003	4	USL PDL	3rd, Southeast	Did not qualify	2nd Round
2004	4	USL PDL	4th, Southeast	Did not qualify	Did not qualify
2005	4	USL PDL	3rd, Southeast	Did not qualify	Did not qualify
2006	4	USL PDL	1st, Southeast	Conference Finals	Did not qualify
2007	4	USL PDL	4th, Southeast	Did not qualify	Did not qualify
2008	4	USL PDL	2nd, Southeast	Conference Semifinals	1st Round
2009	4	USL PDL	2nd, Southeast	National Semifinals	Did not qualify
2010	4	USL PDL	6th, Southeast	Did not qualify	Did not qualify
2011	4	USL PDL	3rd, Southeast	Did not qualify	Did not qualify
2012	4	USL PDL	3rd, Southeast	Did not qualify	Did not qualify
