Date	Visitor	Score	Home	Record
November 17	Toronto St. Pats	1–4	Chicago Black Hawks	1–0–0
November 20	Boston Bruins	1–5	Chicago Black Hawks	2–0–0
November 24	Detroit Cougars	1–0	Chicago Black Hawks	2–1–0
November 27	Pittsburgh Pirates	5–3	Chicago Black Hawks	2–2–0
November 30	Chicago Black Hawks	3–4	New York Rangers	2–3–0
December 1	Chicago Black Hawks	2–2	New York Americans	2–3–1
December 4	Chicago Black Hawks	5–3	Montreal Maroons	3–3–1
December 7	Ottawa Senators	3–2	Chicago Black Hawks	3–4–1
December 9	Chicago Black Hawks	2–5	Toronto St. Pats	3–5–1
December 11	Chicago Black Hawks	3–0	Montreal Canadiens	4–5–1
December 15	New York Rangers	2–6	Chicago Black Hawks	5–5–1
December 18	New York Americans	2–4	Chicago Black Hawks	6–5–1
December 22	Montreal Canadiens	3–1	Chicago Black Hawks	6–6–1
December 25	Detroit Cougars	0–2	Chicago Black Hawks	7–6–1
December 29	Montreal Maroons	4–5	Chicago Black Hawks	8–6–1
January 1	New York Rangers	4–0	Chicago Black Hawks	8–7–1
January 4	Pittsburgh Pirates	2–1	Chicago Black Hawks	8–8–1
January 8	Chicago Black Hawks	4–0	Pittsburgh Pirates	9–8–1
January 11	Chicago Black Hawks	3–6	Boston Bruins	9–9–1
January 16	Chicago Black Hawks	4–5	New York Rangers	9–10–1
January 19	Toronto St. Pats	3–4	Chicago Black Hawks	10–10–1
January 22	Boston Bruins	2–2	Chicago Black Hawks	10–10–2
January 27	Chicago Black Hawks	2–4	Pittsburgh Pirates	10–11–2
January 29	Chicago Black Hawks	1–6	Toronto St. Pats	10–12–2
February 1	Chicago Black Hawks	3–4	Detroit Cougars	10–13–2
February 3	Chicago Black Hawks	0–3	Montreal Maroons	10–14–2
February 5	Chicago Black Hawks	1–2	Ottawa Senators	10–15–2
February 9	Ottawa Senators	3–5	Chicago Black Hawks	11–15–2
February 11	Montreal Canadiens	1–6	Chicago Black Hawks	12–15–2
February 13	Chicago Black Hawks	1–2	New York Americans	12–16–2
February 15	Chicago Black Hawks	0–3	Boston Bruins	12–17–2
February 19	Chicago Black Hawks	4–1	Detroit Cougars	13–17–2
February 23	New York Americans	1–3	Chicago Black Hawks	14–17–2
February 26	Montreal Maroons	2–1	Chicago Black Hawks	14–18–2
March 1	New York Rangers	0–3	Chicago Black Hawks	15–18–2
March 3	Chicago Black Hawks	1–7	Montreal Canadiens	15–19–2
March 5	Chicago Black Hawks	2–1	Ottawa Senators	16–19–2
March 8	Chicago Black Hawks	4–1	Detroit Cougars	17–19–2
March 13	Chicago Black Hawks	4–0	Boston Bruins	18–19–2
March 15	Boston Bruins	2–1	Chicago Black Hawks	18–20–2
March 17	Chicago Black Hawks	2–6	Pittsburgh Pirates	18–21–2
March 19	Pittsburgh Pirates	2–3	Chicago Black Hawks	19–21–2
March 22	Detroit Cougars	3–3	Chicago Black Hawks	19–21–3
March 25	Chicago Black Hawks	0–4	New York Rangers	19–22–3
