Model Number	Frequency	L2 Cache	Mult	Voltage	Socket	Release Date	Part Number(s)
PentiumIII500E	500MHz	256 KB	5×	1.6 V	Socket 370	October 25, 1999	RB80526PY500256
PentiumIII500E	500MHz	256 KB	5×	1.6 V	Slot 1	October 25, 1999	80526PY500256
PentiumIII533EB	533MHz	256 KB	4×	1.65 V	Socket 370	October 25, 1999	RB80526PZ533256
PentiumIII533EB	533MHz	256 KB	4×	1.65 V	Slot 1	October 25, 1999	80526PZ533256
PentiumIII550E	550MHz	256 KB	5.5×	1.6–1.7 V	Socket 370	October 25, 1999	RB80526PY550256
PentiumIII550E	550MHz	256 KB	5.5×	1.6–1.7 V	Slot 1	October 25, 1999	80526PY550256
PentiumIII600E	600MHz	256 KB	6×	1.7–1.75 V	Socket 370	October 25, 1999	RB80526PY600256
PentiumIII600E	600MHz	256 KB	6×	1.7–1.75 V	Slot 1	October 25, 1999	80526PY600256
PentiumIII600EB	600MHz	256 KB	4.5×	1.65–1.7 V	Socket 370	October 25, 1999	RB80526PZ600256
PentiumIII600EB	600MHz	256 KB	4.5×	1.65–1.7 V	Slot 1	October 25, 1999	80526PZ600256
PentiumIII650	650MHz	256 KB	6.5×	1.65–1.7 V	Socket 370	October 25, 1999	RB80526PY650256
PentiumIII650	650MHz	256 KB	6.5×	1.65–1.7 V	Slot 1	October 25, 1999	80526PY650256
PentiumIII667	666MHz	256 KB	5×	1.65–1.7 V	Socket 370	October 25, 1999	RB80526PZ667256
PentiumIII667	666MHz	256 KB	5×	1.65–1.7 V	Slot 1	October 25, 1999	80526PZ667256
PentiumIII700	700MHz	256 KB	7×	1.65–1.7 V	Socket 370	October 25, 1999	RB80526PY700256
PentiumIII700	700MHz	256 KB	7×	1.65–1.7 V	Slot 1	October 25, 1999	80526PY700256
PentiumIII733	733MHz	256 KB	5.5×	1.65–1.75 V	Socket 370	October 25, 1999	RB80526PZ733256
PentiumIII733	733MHz	256 KB	5.5×	1.65–1.75 V	Slot 1	October 25, 1999	80526PZ733256
PentiumIII750	750MHz	256 KB	7.5×	1.65–1.75 V	Socket 370	December 20, 1999	RB80526PY750256
PentiumIII750	750MHz	256 KB	7.5×	1.65–1.75 V	Slot 1	December 20, 1999	80526PY750256
PentiumIII800	800MHz	256 KB	8×	1.65–1.75 V	Socket 370	December 20, 1999	RB80526PY800256
PentiumIII800	800MHz	256 KB	8×	1.65–1.75 V	Slot 1	December 20, 1999	80526PY800256
PentiumIII800EB	800MHz	256 KB	6×	1.65–1.75 V	Socket 370	December 20, 1999	RB80526PZ800256
PentiumIII800EB	800MHz	256 KB	6×	1.65–1.75 V	Slot 1	December 20, 1999	80526PZ800256
PentiumIII850	850MHz	256 KB	8.5×	1.65–1.75 V	Socket 370	March 20, 2000	RB80526PY850256
PentiumIII850	850MHz	256 KB	8.5×	1.65–1.75 V	Slot 1	March 20, 2000	80526PY850256
PentiumIII866	866MHz	256 KB	6.5×	1.65–1.75 V	Socket 370	March 20, 2000	RB80526PZ866256
PentiumIII866	866MHz	256 KB	6.5×	1.65–1.75 V	Slot 1	March 20, 2000	80526PZ866256
PentiumIII900	900MHz	256 KB	9×	1.7–1.75 V	Socket 370	October 2000	RB80526PY900256
PentiumIII933	933MHz	256 KB	7×	1.65–1.75 V	Socket 370	May 24, 2000	RB80526PZ933256
PentiumIII933	933MHz	256 KB	7×	1.65–1.75 V	Slot 1	May 24, 2000	80526PZ933256
PentiumIII1000	1GHz	256 KB	10×	1.75 V	Socket 370	March 8, 2000	RB80526PY001256
PentiumIII1000	1GHz	256 KB	10×	1.75 V	Slot 1	March 8, 2000	80526PY1000256
PentiumIII1000EB	1GHz	256 KB	7.5×	1.7–1.76 V	Socket 370	March 8, 2000	RB80526PZ001256
PentiumIII1000EB	1GHz	256 KB	7.5×	1.7–1.76 V	Slot 1	March 8, 2000	80526PZ1000256
PentiumIII1100	1.1GHz	256 KB	11×	1.75 V	Socket 370	June 2000	RB80526PY005256
PentiumIII1133	1.133GHz	256 KB	8.5×	1.75 V	Socket 370	July 31, 2000	RK80526PZ006256
