Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1947 (20th)	Shoeshine	Sciuscià	Vittorio De Sica Category:Articles with hCards	Won Honorary Award
1949 (22nd)	The Bicycle Thief	Ladri di biciclette	Vittorio De Sica Category:Articles with hCards	Won Honorary Award
1950 (23rd)	The Walls of Malapaga	Le mura di Malapaga	René Clément Category:Articles with hCards	Won Honorary Award
1956: (29th)	La Strada	La strada	Federico Fellini Category:Articles with hCards	Won Academy Award
1957: (30th)	Nights of Cabiria	Le notti di Cabiria	Federico Fellini Category:Articles with hCards	Won Academy Award
1958: (31st)	Big Deal on Madonna Street	I soliti ignoti	Mario Monicelli Category:Articles with hCards	Nominee
1959: (32nd)	The Great War	La grande guerra	Mario Monicelli Category:Articles with hCards	Nominee
1960: (33rd)	Kapò	Kapò	Gillo Pontecorvo Category:Articles with hCards	Nominee
1962: (35th)	The Four Days of Naples	Le quattro giornate di Napoli	Nanni Loy Category:Articles with hCards	Nominee
1963: (36th)	8½	Otto e mezzo	Federico Fellini Category:Articles with hCards	Won Academy Award
1964: (37th)	Yesterday, Today and Tomorrow	Ieri, oggi, domani	Vittorio De Sica Category:Articles with hCards	Won Academy Award
1965: (38th)	Marriage Italian-Style	Matrimonio all'Italiana	Vittorio De Sica Category:Articles with hCards	Nominee
1966: (39th)	The Battle of Algiers	La Battaglia di Algeri	Gillo Pontecorvo Category:Articles with hCards	Nominee
1967: (40th)	China is Near	La Cina è vicina	Marco Bellocchio Category:Articles with hCards	Not Nominated
1968: (41st)	The Girl with the Pistol	La ragazza con la pistola	Mario Monicelli Category:Articles with hCards	Nominee
1969: (42nd)	Satyricon	Fellini Satyricon	Federico Fellini Category:Articles with hCards	Not Nominated
1971: (44th)	The Garden of the Finzi-Continis	Il Giardino dei Finzi-Contini	Vittorio De Sica Category:Articles with hCards	Won Academy Award
1972: (45th)	Roma	Roma	Federico Fellini Category:Articles with hCards	Not Nominated
1974: (47th)	Amarcord	Amarcord	Federico Fellini Category:Articles with hCards	Won Academy Award
1975: (48th)	Scent of a Woman	Profumo di donna	Dino Risi Category:Articles with hCards	Nominee
1976: (49th)	Seven Beauties	Pasqualino Settebellezze	Lina Wertmüller Category:Articles with hCards	Nominee
1977: (50th)	A Special Day	Una giornata particolare	Ettore Scola Category:Articles with hCards	Nominee
1979: (52nd)	To Forget Venice	Dimenticare Venezia	Franco Brusati Category:Articles with hCards	Nominee
1980: (53rd)	A Leap in the Dark	Salto nel vuoto	Marco Bellocchio Category:Articles with hCards	Nominee
1981: (54th)	Three Brothers	Tre Fratelli	Francesco Rosi Category:Articles with hCards	Nominee
1983: (56th)	And the Ship Sails On	E la nave va	Federico Fellini Category:Articles with hCards	Not Nominated
1984: (57th)	Where's Picone?	Mi manda Picone	Nanni Loy Category:Articles with hCards	Not Nominated
1985: (58th)	Macaroni	Maccheroni	Ettore Scola Category:Articles with hCards	Not Nominated
1987: (60th)	The Family	La famiglia	Ettore Scola Category:Articles with hCards	Nominee
1988: (61st)	The Legend of the Holy Drinker	La leggenda del santo bevitore	Ermanno Olmi Category:Articles with hCards	Not Nominated
1989: (62nd)	Cinema Paradiso	Nuovo Cinema Paradiso	Giuseppe Tornatore Category:Articles with hCards	Won Academy Award
1990: (63rd)	Open Doors	Porte Aperte	Gianni Amelio Category:Articles with hCards	Nominee
1991: (64th)	Mediterraneo	Mediterraneo	Gabriele Salvatores Category:Articles with hCards	Won Academy Award
1992: (65th)	The Stolen Children	Il ladro di bambini	Gianni Amelio Category:Articles with hCards	Not Nominated
1993: (66th)	The Great Pumpkin	Il grande cocomero	Francesca Archibugi Category:Articles with hCards	Not Nominated
1994: (67th)	Lamerica	Lamerica	Gianni Amelio Category:Articles with hCards	Not Nominated
1995: (68th)	The Star Maker	L'uomo delle stelle	Giuseppe Tornatore Category:Articles with hCards	Nominee
1996: (69th)	My Generation	La mia generazione	Wilma Labate Category:Articles with hCards	Not Nominated
1997: (70th)	The Best Man	Il testimone dello sposo	Pupi Avati Category:Articles with hCards	Not Nominated
1998: (71st)	Life Is Beautiful	La vita è bella	Roberto Benigni Category:Articles with hCards	Won Academy Award
1999: (72nd)	Not of This World	Fuori dal mondo	Giuseppe Piccioni Category:Articles with hCards	Not Nominated
2001: (74th)	The Son's Room	La stanza del figlio	Nanni Moretti Category:Articles with hCards	Not Nominated
2002: (75th)	Pinocchio	Pinocchio	Roberto Benigni Category:Articles with hCards	Not Nominated
2003: (76th)	I'm Not Scared	Io non ho paura	Gabriele Salvatores Category:Articles with hCards	Not Nominated
2004: (77th)	The Keys to the House	Le chiavi di casa	Gianni Amelio Category:Articles with hCards	Not Nominated
2005: (78th)	Don't Tell	La bestia nel cuore	Cristina Comencini Category:Articles with hCards	Nominee
2006: (79th)	The Golden Door	Nuovomondo	Emanuele Crialese Category:Articles with hCards	Not Nominated
2007: (80th)	The Unknown	La sconosciuta	Giuseppe Tornatore Category:Articles with hCards	Made January Shortlist
2008: (81st)	Gomorrah	Gomorra	Matteo Garrone Category:Articles with hCards	Not Nominated
2009: (82nd)	Baarìa	Baarìa	Giuseppe Tornatore Category:Articles with hCards	Not Nominated
2010: (83rd)	The First Beautiful Thing	La prima cosa bella	Paolo Virzì Category:Articles with hCards	Not Nominated
2011: (84th)	Terraferma	Terraferma	Emanuele Crialese Category:Articles with hCards	Not Nominated
2012: (85th)	Caesar Must Die	Cesare deve morire	Paolo and Vittorio Taviani	Not Nominated
