Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Winners	September 26, 1993	Tokyo , Japan	Hard	Lisa Raymond	Amanda Coetzer Linda Wild	6–4, 6–1
Winners	January 16, 1994	Hobart , Australia	Hard	Linda Wild	Jenny Byrne Rachel McQuillan	7–5, 4–6, 7–6
Runner–up	November 6, 1994	Quebec City , Canada	Hard (i)	Linda Wild	Elna Reinach Nathalie Tauziat	4–6, 3–6
Winners	May 14, 1995	Prague , Czech Republic	Clay	Linda Wild	Maria Lindström Maria Strandlund	6–7, 6–3, 6–2
Runner–up	October 8, 1995	Zürich , Switzerland	Hard (i)	Caroline Vis	Nicole Arendt Manon Bollegraf	4–6, 6(4)–7, 4–6
Winners	January 28, 1996	Australian Open , Melbourne	Hard	Arantxa Sánchez Vicario	Lindsay Davenport Mary Joe Fernández	7–5, 2–6, 6–4
Winners	February 25, 1996	Oklahoma City , United States	Hard (i)	Brenda Schultz-McCarthy	Katrina Adams Debbie Graham	6–4, 6–3
Winners	March 17, 1996	Indian Wells , United States	Hard	Brenda Schultz-McCarthy	Julie Halard-Decugis Nathalie Tauziat	6–1, 6–4
Winners	April 14, 1996	Amelia Island , United States	Clay	Arantxa Sánchez Vicario	Meredith McGrath Larisa Neiland	6–1, 6–1
Runner–up	September 21, 1997	Tokyo, Japan	Hard	Julie Halard-Decugis	Monica Seles Ai Sugiyama	1–6, 0–6
Runner–up	September 21, 1997	Quebec City, Canada	Carpet	Sandrine Testud	Lori McNeil Kimberly Po	7–6(3), 5–7, 4–6
Runner–up	September 12, 1999	US Open , Flushing Meadows	Hard	Sandrine Testud	Serena Williams Venus Williams	6–4, 1–6, 4–6
Winners	October 10, 1999	Filderstadt , Germany	Hard (i)	Sandrine Testud	Arantxa Sánchez Vicario Larisa Neiland	6–3, 6–4
Runner–up	November 14, 1999	Philadelphia , United States	Hard	Sandrine Testud	Lisa Raymond Rennae Stubbs	1–6, 6(2)–7
Winners	July 30, 2000	Stanford , United States	Hard	Sandrine Testud	Cara Black Amy Frazier	6–4, 6–4
Winners	October 22, 2000	Linz , Austria	Carpet	Amélie Mauresmo	Ai Sugiyama Nathalie Tauziat	6–4, 6–4
Runner–up	October 28, 2001	Linz, Austria	Hard (i)	Els Callens	Jelena Dokić Nadia Petrova	1–6, 4–6
