Year	Winner (Male)	Winner (Female)	Talent (Male)	Talent (Female)
1989	Godfried Dejonckheere	Véronique Collard	Gino Van Geyte	Anneke Matthijs
1990	Patrick Stevens	Lieve Slegers	Stefaan Allemeersch	Sandrine Hennart
1991	Godfried Dejonckheere	Sylvia Dethier	Yassin Guellet	Anja Smolders
1992	William Van Dijck	Lieve Slegers	Benjamin Leroy	Sabrina De Leeuw
1993	Vincent Rousseau	Sabrina De Leeuw	Nathan Kahan	Kathleen Van Hove
1994	Vincent Rousseau	Lieve Slegers	Erik Nijs	Annelies Demeester
1995	Patrick Stevens	Lieve Slegers	Sven Pieters	Kim Gevaert
1996	Patrick Stevens	Ann Mercken	Kjell Provost	Cindy Stas
1997	Mohammed Mourhit	Marleen Renders	Ben Quintelier	Ludivine Michel
1998	Jonathan N'Senga	Marleen Renders	Johan Kloek	Catherine Lallemand
1999	Mohammed Mourhit	Marleen Renders	Thibaut Duval & Hans Janssens	Veerle Dejaeghere
2000	Mohammed Mourhit	Veerle Dejaeghere	Matthieu Van Diest	Mieke Geens
2001	Mohammed Mourhit	Kim Gevaert	Kevin Rans	Sigrid Vanden Bempt
2002	Cédric Van Branteghem	Kim Gevaert	Michael Velter	Elfje Willemsen
2003	Cédric Van Branteghem	Kim Gevaert	Xavier De Baerdemaeker	Olivia Borlée
2004	Joeri Jansen	Kim Gevaert	Pieter Desmet	Lien Huyghebaert
2005	François Gourmet	Kim Gevaert	Frédéric Xhonneux	Eline Berings
2006	Kristof Beyens	Tia Hellebaut	Jonathan Borlée	Annelies Peetroons
2007	Hans Van Alphen	Kim Gevaert	Adrien Deghelt	Anne Zagré
2008	Kevin Borlée	Tia Hellebaut	Kevin Borlée	Hannelore Desmet
2009	Jonathan Borlée	Eline Berings	Jeroen D'hoedt & Thomas Van Der Plaetsen	Lindsey De Grande
2010	Kevin Borlée	Svetlana Bolshakova	Julien Watrin	Hanne Van Hessche
2011	Kevin Borlée	Élodie Ouédraogo	Stef Vanhaeren	Marjolein Lindemans
2012	Hans Van Alphen	Tia Hellebaut	Dario De Borger	Nafissatou Thiam
