Date	Tournament	Surface	Opponent in the final	Score
February 2, 1997	Dinan	Clay (I)	Emmanuelle Curutchet	6–2, 7–6
May 11, 1997	Gelos	Clay	Karolina Jagieniak	6–4, 6–2
February 1, 1998	Dinan	Clay (I)	Elodie Le Bescond	6–1, 6–1
September 17, 2000	Bordeaux	Clay	Lubomira Bacheva	7–5, 6–2
April 14, 2002	Dinan	Clay (I)	Zuzana Ondrášková	6–2, 7–5
May 5, 2002	Cagnes-sur-Mer	Clay	Alena Vašková	7–5, 3–6, 6–4
April 11, 2004	Casablanca	Clay	Ľudmila Cervanová	6–2, 6–2
April 18, 2004	Estoril	Clay	Iveta Benešová	7–5, 7–6
October 16, 2005	Joué-lès-Tours	Hard (I)	Jelena Kostanić	6–2, 6–1
March 3, 2007	Acapulco	Clay	Flavia Pennetta	7–6, 6–4
