Code	District	Headquarters	Population (2001 Census)	Population (2011 Census)	Area (km²)	Density in 2011 (/km²)
AN	Anugul	Anugul	1140003	1273821	6375	199.8
BD	Boudh (Baudh)	Boudh	373372	441162	3098	142.4
BH	Bhadrak	Bhadrak	1335749	1506337	2505	601.3
BL	Balangir	Balangir	1337194	1648997	6575	250.8
BR	Bargarh (Baragarh)	Bargarh	1346336	1481255	5837	253.8
BW	Balasore (Baleswar)	Baleswar	2024508	2320529	3806	609.7
CU	Cuttack	Cuttack	2341094	2624470	3932	667.5
DE	Debagarh (Deogarh)	Debagarh	274108	312520	2940	106.3
DH	Dhenkanal	Dhenkanal	1066878	1192811	4452	267.9
GN	Ganjam	Chhatrapur	3130635	3529031	8206	430.1
GP	Gajapati	Paralakhemundi	518837	577817	4325	133.6
JH	Jharsuguda	Jharsuguda	509716	579505	2114	274.1
JP	Jajapur (Jajpur)	Jajpur	1624341	1827192	2899	595.8
JS	Jagatsinghapur	Jagatsinghapur	1057629	1136971	1668	681.6
KH	Khordha	Bhubaneswar	1877395	2251673	2813	800.5
KJ	Kendujhar (Keonjhar)	Kendujhar	1561990	1801733	8303	217.0
KL	Kalahandi	Bhawanipatna	1335494	1576869	7920	199.1
KN	Kandhamal	Phulbani	648201	733110	8021	91.4
KO	Koraput	Koraput	1180637	1379647	8807	156.7
KP	Kendrapara	Kendrapara	1302005	1440361	2644	544.8
ML	Malkangiri	Malkangiri	504198	613192	5791	105.9
MY	Mayurbhanj	Baripada	2223456	2519738	10418	241.9
NB	Nabarangpur	Nabarangapur	1025766	1220946	5291	230.8
NU	Nuapada	Nuapada	530690	610382	3852	158.5
NY	Nayagarh	Nayagarh	864516	962789	3890	247.5
PU	Puri	Puri	1502682	1698730	3479	488.3
RA	Rayagada	Rayagada	831109	967911	7073	136.8
SA	Sambalpur	Sambalpur	935613	1041099	6624	157.2
SO	Subarnapur (Sonepur)	Subarnapur	541835	610183	2337	261.1
SU	Sundargarh (Sundargarh)	Sundargarh	1830673	2093437	9712	215.6
