Round	Overall	Player	Position	School/Club Team
2	17	Jim Garcia	Tackle	Purdue
2	22	Gerry Bussell	Defensive back	Georgia Tech
2	27	Walter Johnson	Defensive tackle	Cal State-Los Angeles
3	32	Bo Scott	Running back	Ohio State
3	41	Bobby Maples	Linebacker	Baylor
5	69	Bill Irwin	Tackle	Mississippi
6	72	Arnie Simkus	Tackle	Michigan
6	83	Corwyn Aldredge	Wide receiver	Northwestern State (LA)
7	97	Dale Lindsey	Linebacker	Western Kentucky
8	111	Mike Howell	Defensive back	Grambling
9	125	Gary Lane	Quarterback	Missouri
10	139	Pat Screen	Quarterback	LSU
11	153	Ollie Cordill	Back	Memphis State
12	167	Justin Canale	Guard	Mississippi State
13	181	Henry Pickett	Back	Baylor
14	195	Dan Simrell	Quarterback	Toledo
15	209	Larry Gagner	Tackle	Florida
16	223	Mel Anthony	Fullback	Michigan
17	237	John Boyette	Tackle	Clemson
18	251	Dick Arrington	Guard	Notre Dame
19	265	Ed Orazen	Guard	Ohio State
20	279	Frank Goldberg	Linebacker	Central Michigan
