Name v t e	Pos.	Height	Weight	Club
Zdravko Radić Category:Articles with hCards	GK	m ()	kg (lb)	VK Primorac Kotor
Draško Brguljan Category:Articles with hCards	D	m ()	kg (lb)	VK Primorac Kotor
Vjekoslav Pasković Category:Articles with hCards	D	m ()	kg (lb)	VK Primorac Kotor
Nikola Vukčević Category:Articles with hCards	CF	m ()	kg (lb)	PVK Jadran
Nikola Janović Category:Articles with hCards	D	m ()	kg (lb)	Posillipo Naples
Milan Tičić Category:Articles with hCards	CB	m ()	kg (lb)	PVK Budvanska rivijera
Mlađan Janović Category:Articles with hCards	D	m ()	kg (lb)	VK Primorac Kotor
Veljko Uskoković Category:Articles with hCards	D	m ()	kg (lb)	PVK Budvanska rivijera
Aleksandar Ivović Category:Articles with hCards	CB	m ()	kg (lb)	PVK Jadran
Boris Zloković Category:Articles with hCards	CF	m ()	kg (lb)	Posillipo Naples
Vladimir Gojković Category:Articles with hCards	D	m ()	kg (lb)	PVK Jadran
Predrag Jokić Category:Articles with hCards	CB	m ()	kg (lb)	Pro Recco
Miloš Šćepanović Category:Articles with hCards	GK	m ()	kg (lb)	PVK Jadran
