Rank	Name	Team	Goals	Appearances
1	Pavel Pogrebnyak	Zenit St. Petersburg	10	13
1	Luca Toni	Bayern Munich	10	11
3	Stefan Kießling	Bayer Leverkusen	7	12
4	Adrian Mutu	Fiorentina	6	10
4	Henrik Larsson	Helsingborg	6	8
4	Razak Omotoyossi	Helsingborg	6	8
7	Sergio Agüero	Atlético Madrid	5	7
7	Dimitar Berbatov	Tottenham Hotspur	5	8
7	Fernando Cavenaghi	Bordeaux	5	7
7	Miroslav Klose	Bayern Munich	5	12
7	Roland Linz	Braga	5	8
7	Dimitrios Papadopoulos	Panathinaikos	5	7
7	Lukas Podolski	Bayern Munich	5	12
7	Jon Dahl Tomasson	Villarreal	5	8
