Venue	Hosted	Average	Highest	Lowest	Total	Last Year	Up/Down
MCG	44	47,425	83,905	17,566	2086,712	46,141	+ 1284
Football Park	22	35,208	49,846	22,423	774,580	32,424	+ 2784
Colonial Stadium	43	31,939	50,701	12,566	1373,371	30,524	+ 1415
GABBA	12	27,313	36,149	20,059	327,754	27,406	– 93
SCG	13	27,159	40,131	20,611	353,069	22,390	+ 4769
Subiaco Oval	22	26,964	41,285	15,136	593,202	30,326	– 3362
Optus Oval	9	23,417	30,067	15,622	210,750	24,656	– 1239
Shell Stadium	7	21,445	27,421	14,298	150,114	22,108	– 663
York Park	1	17,460	17,460	17,460	17,460	N/A	N/A
Manuka Oval	3	11,368	13,117	10,030	34,105	N/A	N/A
Totals	176	33,643	83,905	10,030	5921,117	32,618	+ 1025
