Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
2	November 1	Golden State	L 97–105 (OT)	Vince Carter (20)	Josh Boone (14)	Keyon Dooling (6)	Izod Center 17,390	1–1
3	November 4	Phoenix	L 86–114 (OT)	Vince Carter (19)	Yi Jianlian (8)	Devin Harris (7)	Izod Center 15,230	1–2
4	November 7	Detroit	W 103–96 (OT)	Devin Harris (38)	Josh Boone (14)	Vince Carter (7)	Izod Center 17,767	2–2
5	November 8	@ Indiana	L 80–98 (OT)	Vince Carter (31)	Yi Jianlian (11)	Keyon Dooling (4)	Conseco Fieldhouse 14,355	2–3
6	November 10	@ Miami	L 94–99 (OT)	Yi Jianlian (24)	Yi Jianlian (10)	Yi Jianlian , Vince Carter , Keyon Dooling (4)	American Airlines Arena 15,028	2–4
7	November 12	Indiana	L 87–98 (OT)	Vince Carter (28)	Yi Jianlian (8)	Vince Carter (7)	Izod Center 13,551	2–5
8	November 14	Atlanta	W 115–108 (OT)	Devin Harris (30)	Brook Lopez (9)	Devin Harris (8)	Izod Center 15,309	3–5
9	November 15	@ Atlanta	W 119–107 (OT)	Devin Harris (33)	Brook Lopez (7)	Devin Harris (10)	Philips Arena 18,729	4–5
10	November 18	Cleveland	L 82–106 (OT)	Devin Harris (23)	Brook Lopez (13)	Vince Carter (6)	Izod Center 16,911	4–6
11	November 21	@ Toronto	W 129–127 (OT)	Vince Carter (39)	Vince Carter (9)	Vince Carter (6)	Air Canada Centre 19,800	5–6
12	November 22	L.A. Clippers	W 112–95 (OT)	Yi Jianlian (27)	Brook Lopez (10)	Devin Harris (10)	Izod Center 17,677	6–6
13	November 25	@ L.A. Lakers	L 93–120 (OT)	Devin Harris (21)	Brook Lopez (10)	Devin Harris (6)	Staples Center 18,997	6–7
14	November 26	@ Sacramento	W 116–114 (OT)	Vince Carter (25)	Brook Lopez , Ryan Anderson (8)	Devin Harris (7)	ARCO Arena 11,650	7–7
15	November 29	@ Utah	W 105–88 (OT)	Devin Harris (34)	Brook Lopez (8)	Devin Harris (6)	EnergySolutions Arena 19,911	8–7
16	November 30	@ Phoenix	W 117–109 (OT)	Devin Harris (47)	Devin Harris , Brook Lopez (7)	Devin Harris (8)	US Airways Center 18,422	9–7
