Season	Team	Wins	Losses	Draws
Season	Team	Wins	Losses	Draws
1865	Yorkshire	0	6	2
1871	Surrey	0	9	4
1877	Sussex	0	7	1
1886	Derbyshire	0	8	1
1897	Derbyshire	0	9	7
1900	Hampshire	0	16	6
1901	Derbyshire	0	13	7
1910	Somerset	0	15	3
1924	Derbyshire	0	13	11
1928	Worcestershire	0	19	11
1936	Northamptonshire	0	9	15
1937	Northamptonshire	0	16	8
1938	Northamptonshire	0	17	7
1967	Nottinghamshire	0	4	24
1979	Glamorgan	0	10	11
1982	Warwickshire	0	8	14
1996	Durham	0	12	5
2008	Surrey	0	5	10
2008	Gloucestershire	0	5	11
2009	Worcestershire	0	10	6
