Round	Pick	Player	Position	School/Club Team
1	7	George Paskvan	Back	Wisconsin
3	21	Bob Paffrath	Back	Minnesota
5	37	Ed Frutig	End	Michigan
6	46	Herm Rohrig	Defensive Back	Nebraska
7	57	Bill Telesmanic	End	San Francisco
8	66	Bill Kuusisto	Guard	Minnesota
9	77	Tony Canadeo	Halfback	Gonzaga
10	86	Mike Byelene	Back	Purdue
11	97	Paul Heimenz	Center	Northwestern
12	106	Mike Enich	Tackle	Iowa
13	117	Ed Heffernan	Back	St. Mary's (CA)
14	126	Del Lyman	Tackle	UCLA
15	137	Johnny Frieberger	End	Arkansas
16	146	Ernie Pannell	Tackle	Texas A&M
17	157	Bob Saggau	Back	Notre Dame
18	166	Heige Pukema	Guard	Minnesota
19	177	Bob Hayes	End	Toledo
20	186	Jim Strasbaugh	Back	Ohio State
21	192	Joe Bailey	Center	Kentucky
22	196	Bruno Malinowski	Back	Holy Cross
