Rank	Country (or dependent territory)	July 1, 2013 projection	% of pop.	Average relative annual growth (%)	Average absolute annual growth
1	Germany	80,640,000	15.99	0.24	196,000
2	United Kingdom	64,231,000	12.73	0.73	465,000
3	France	63,820,000	12.65	0.49	309,000
4	Italy	59,789,000	11.85	0.35	206,000
5	Spain	46,958,000	9.31	-0.43	-205,000
6	Poland	38,548,000	7.64	0.08	29,000
7	Romania	19,858,000	3.94	-0.77	-155,000
8	Netherlands	16,795,000	3.33	0.33	55,000
9	Belgium	11,162,000	2.21	0.66	73,000
10	Greece	10,758,000	2.13	-0.13	-14,000
11	Portugal	10,609,000	2.10	0.19	20,000
12	Czech Republic	10,519,000	2.09	0.23	24,000
13	Hungary	9,894,000	1.96	-0.25	-25,000
14	Sweden	9,595,000	1.90	0.76	72,000
15	Austria	8,477,000	1.68	0.61	51,000
16	Bulgaria	7,261,000	1.44	-0.59	-43,000
17	Denmark	5,612,000	1.11	0.45	25,000
18	Finland	5,436,000	1.08	0.44	24,000
19	Slovakia	5,413,000	1.07	0.15	8,000
20	Ireland	4,662,000	0.92	1.35	62,000
21	Croatia	4,258,000	0.84	-0.35	-15,000
22	Lithuania	2,956,000	0.59	-1.30	-39,000
23	Slovenia	2,062,000	0.41	0.24	5,000
24	Latvia	2,011,000	0.40	-1.23	-25,000
25	Estonia	1,283,000	0.25	-0.62	-8,000
26	Cyprus	888,000	0.18	1.95	17,000
27	Luxembourg	542,000	0.11	1.88	10,000
28	Malta	419,000	0.08	0.48	2,000
align=left|Total	504,456,000	100.00	0.22	1,124,000	311
