Draw	Language	Artist	Song	English translation	Place	Points
01	Croatian	Igor Cukrov feat. Andrea	" Lijepa Tena "	Beautiful Tena	13	33
02	English	Sinéad Mulvey and Black Daisy	" Et Cetera "	—	11	52
03	Russian	Intars Busulis	" Probka " (Пробка)	Traffic jam	19	7
04	Serbian	Marko Kon and Milaan	" Cipela " (Ципела)	Shoe	10	60
05	English	Lidia Kopania	" I Don't Wanna Leave "	—	12	43
06	English	Alexander Rybak	" Fairytale "	—	1	201
07	English	Christina Metaxa	" Firefly "	—	14	32
08	Slovak	Kamil Mikulčík and Nela	" Leť tmou "	Fly through the darkness	18	8
09	English	Niels Brinck	" Believe Again "	—	8	69
10	English , Slovene	Quartissimo feat. Martina	" Love Symphony "	—	16	14
11	English	Zoli Ádok	" Dance with Me "	—	15	16
12	English	AySel and Arash	" Always "	—	2	180
13	English	Sakis Rouvas	" This Is Our Night "	—	4	110
14	English , Russian	Sasha Son	" Love "	—	9	66
15	Romanian , English	Nelly Ciobanu	" Hora din Moldova "	Dance from Moldova	5	106
16	English	Kejsi Tola	" Carry Me in Your Dreams "	—	7	73
17	English	Svetlana Loboda	" Be My Valentine "	—	6	80
18	Estonian	Urban Symphony	" Rändajad "	Nomad	3	115
19	English	The Toppers	" Shine "	—	17	11
