Start month	End month	Cover	Spine	Indicia	Masthead	Number of issues
Summer-52	Feb-55	Fantastic	Fantastic	Fantastic	Fantastic	16
Apr–55	Oct–55	Fantastic Science-Fiction	Fantastic	Fantastic	Fantastic	4
Dec–55	Dec–55	Fantastic	Fantastic	Fantastic	Fantastic	1
Feb–56	Aug–56	Fantastic Science-Fiction	Fantastic	Fantastic	Fantastic	4
Oct–56	Oct–56	Fantastic	Fantastic	Fantastic	Fantastic	1
Dec–56	Sep–57	Fantastic Science-Fiction	Fantastic	Fantastic	Fantastic	9
Oct–57	Feb–58	Fantastic Science Fiction	Fantastic	Fantastic	Fantastic	5
Mar–58	Aug–59	Fantastic	Fantastic	Fantastic	Fantastic	18
Sep–59	Dec–59	Fantastic Science Fiction Stories	Fantastic	Fantastic Science Fiction Stories	Fantastic Science Fiction Stories	4
Jan-60	Sep-60	Fantastic Science Fiction Stories	Fantastic Science Fiction Stories	Fantastic Science Fiction Stories	Fantastic Science Fiction Stories	9
Oct-60	Jun-65	Fantastic Stories of Imagination	Fantastic Stories of Imagination	Fantastic	Fantastic Stories of Imagination	57
Sep-65	Dec-69	Fantastic Science Fiction - Fantasy	Fantastic Stories	Fantastic	Fantastic Science Fiction - Fantasy	26
Feb-70	Apr-71	Fantastic Stories Science Fiction - Fantasy	Fantastic Stories	Fantastic	Fantastic Science Fiction - Fantasy	8
Jun-71	Apr-72	Fantastic Stories Science Fiction & Fantasy	Fantastic Stories	Fantastic	Fantastic Stories Science Fiction & Fantasy	6
Jun-72	Jun-72	Fantastic Stories Science Fiction & Fantasy	Fantastic Stories Science Fiction & Fantasy	Fantastic	Fantastic Stories Science Fiction & Fantasy	1
Aug-72	Aug-72	Fantastic Stories Science Fiction & Fantasy	Fantastic Stories	Fantastic	Fantastic Stories Science Fiction & Fantasy	1
Oct-72	Feb-75	Fantastic Stories Science Fiction & Fantasy	Fantastic Stories Science Fiction & Fantasy	Fantastic	Fantastic Stories Science Fiction & Fantasy	14
Apr-75	Jun-77	Fantastic Stories Sword & Sorcery and Fantasy	Fantastic Stories Swords & Sorcery and Fantasy	Fantastic	Fantastic Stories Science Fiction & Fantasy	11
Sep-77	Oct-78	Fantastic Stories	Fantastic Stories	Fantastic	Fantastic Stories Sword & Sorcery and Fantasy	5
Jan-79	Jan-79	Fantastic Stories Science Fiction & Fantasy	Fantastic Stories Science Fiction & Fantasy	Fantastic	Fantastic Stories Science Fiction & Fantasy	1
Apr-79	Oct-80	Fantastic Science Fiction	Fantastic Stories	Fantastic	Fantastic Science Fiction	7
