Week	Date	Opponent	Result	Attendance
1	September 9, 2001	Oakland Raiders	L 27–24	78,844
2	September 23, 2001	New York Giants	L 13–3	77,666
3	September 30, 2001	at Washington Redskins	W 45–13	76,573
4	October 7, 2001	at Denver Broncos	L 20–6	75,037
5	October 14, 2001	Pittsburgh Steelers	L 20–17	78,413
6	October 21, 2001	at Arizona Cardinals	L 24–16	35,916
7	October 25, 2001	Indianapolis Colts	L 35–28	74,212
8	November 4, 2001	at San Diego Chargers	W 25–20	58,789
9	November 11, 2001	at New York Jets	L 27–7	78,234
10	Bye	Bye	Bye	Bye
11	November 25, 2001	Seattle Seahawks	W 19–7	77,357
12	November 29, 2001	Philadelphia Eagles	L 23–10	77,087
13	December 9, 2001	at Oakland Raiders	L 28–26	60,784
14	December 16, 2001	Denver Broncos	W 26–23	77,778
15	December 23, 2001	San Diego Chargers	W 20–17	76,131
16	December 30, 2001	at Jacksonville Jaguars	W 30–26	59,396
17	January 6, 2002*	at Seattle Seahawks	L 21–18	58,460
