DS Division	Main Town	Divisional Secretary	GN Divisions	Area (km 2 )	Sri Lankan Tamil	Sri Lankan Moors	Sinhalese	Burgher	Other	Total	Population Density (/km 2 )
Eravurpattu	Chenkalady	U. Uthayashreethar	39	695	60278	12617	2040	119	82	75136	108
Eravur Town	Eravur	S. L. M. Haneefa	15	3	3287	21075	191	69	10	24632	8211
Kattankudy	Kattankudy	S. H. Muzammil	18	6	14	40201	11	0	11	40237	6706
Koralaipattu	Valaichchenai	S. Giridaran	12	35	22799	77	339	82	20	23317	666
Koralaipattu Central	Pasikudah	Nihara Mowjood	9	80	583	24961	57	36	6	25643	320
Koralaipattu North	Vakarai	S. R. Rahulanayahi	16	589	20519	698	288	5	2	21512	37
Koralaipattu South	Kiran	K. Thanapalasundaram	18	582	25820	18	87	0	136	26061	45
Koralaipattu West	Oddamavadi	M. C. Ansar	8	17	65	22070	7	0	2	22144	1303
Manmunai North	Batticaloa	Kalamathy Pathmarajah	48	68	76898	4569	1340	2473	748	86028	1265
Manmunaipattu	Araiyampathy	V. Arulrajah	27	37	22994	7520	35	2	32	30583	827
Manmunai South & Eruvilpattu	Kaluvanchikudy	S. Suthakar	45	63	60457	12	192	5	28	60694	963
Manmunai South West	Kokkadichcholai	V. Thavarajah	24	145	23653	5	1005	1	9	24673	170
Manmunai West	Vavunathivu	V. Thavarajah	24	352	28199	13	180	0	0	28392	81
Porativupattu	Vellavely	Nallaiya Vilvaretnam	43	182	35719	8	355	2	6	36090	198
