E. coli	Yeast (S. cerevisiae)	Human	Type	Substrates
AlkA	Mag1	MPG	monofunctional	3-meA, hypoxanthine
UDG	Ung1	UNG	monofunctional	uracil
Fpg	Ogg1	hOGG1	bifunctional	8-oxoG, FapyG
Nth	Ntg1	hNTH1	bifunctional	Tg, hoU, hoC, urea, FapyG
Nth	Ntg2	hNTH1	bifunctional	Tg, hoU, hoC, urea, FapyG
Nei	Not present	hNEIL1	bifunctional	Tg, hoU, hoC, urea, FapyG, FapyA
Nei	Not present	hNEIL2	bifunctional	AP site, hoU
Nei	Not present	hNEIL3	bifunctional	unknown
MutY	Not present	hMYH	monofunctional	A:8-oxoG
Not present	Not present	hSMUG1	monofunctional	U, hoU, hmU, fU
Not present	Not present	TDG	monofunctional	T:G mispair
Not present	Not present	MBD4	monofunctional	T:G mispair
