Townland	s Acre	Barony	Civil parish	Poor law union
Abbeyland	144	Kilkea and Moone	Castledermot	Athy
Abbeyland	68	Clane	Clane	Naas
Aghafullim	142	Ikeathy and Oughterany	Clonshanbo	Celbridge
Aghanure	257	Narragh and Reban West	Kilberry	Athy
Aghards	67	North Salt	Kildrought	Celbridge
Aghpaudeen	7	Clane	Killybegs	Naas
Alasty	398	South Salt	Kill	Naas
Allenswood	75	North Salt	Confey	Celbridge
Allenwood Middle	312	Connell	Kilmeage	Naas
Allenwood North	1945	Connell	Kilmeage	Naas
Allenwood South	1243	Connell	Kilmeage	Naas
Alliganstown	493	Naas South	Ballybought	Naas
Annalough	115	Narragh and Reban East	Narraghmore	Athy
Ardclogh	150	South Salt	Lyons	Celbridge
Ardellis Lower	163	Offaly West	Fontstown	Athy
Ardellis Upper	284	Offaly West	Fontstown	Athy
Ardinode	304	Naas South	Ballymore Eustace	Naas
Ardinode	208	Naas South	Jago	Naas
Ardkill	628	Carbury	Ardkill	Edenderry
Ardmore	241	Narragh and Reban West	Kilberry	Athy
Ardnagross	128	Narragh and Reban West	Narraghmore	Athy
Ardrass Loweer	235	North Salt	Killadoon	Celbridge
Ardrass Upper	312	North Salt	Killadoon	Celbridge
Ardree	323	Kilkea and Moone	Ardree	Athy
Ardree	476	Kilkea and Moone	Tankardstown	Athy
Ardrew	81	Narragh and Reban West	St. John's	Athy
Ardscull	1188	Narragh and Reban East	Moone	Athy
Arthurstown	167	South Salt	Kill	Naas
Ashgrove	75	Offaly West	Ballybrackan	Athy
Athgarrett	742	Naas North	Rathmore	Naas
Athgarvan and Blackrath	617	Connell	Greatconnell	Naas
Athy	52	Narragh and Reban West	St. John's	Athy
Athy	162	Narragh and Reban West	St. Michaels	Athy
Aughrim	756	Offaly West	Lackagh	Athy
Aylemerstown	250	Kilkea and Moone	Killelan	Baltinglass
Backwestonpark	87	South Salt	Donaghcumper	Celbridge
Balkinstown	302	Offaly West	Nurney	Athy
Ballaghmoon	296	Kilkea and Moone	Ballaghmoon	Athy
Ballaghmoon Castle	266	Kilkea and Moone	Ballaghmoon	Athy
Ballina	839	Carbury	Cadamstown	Edenderry
Ballinderry	593	Carbury	Mylerstown	Edenderry
Ballindoolin	856	Carbury	Carrick	Edenderry
Ballindrum	662	Kilkea and Moone	Narraghmore	Athy
Ballinlig	395	Carbury	Kilrainy	Edenderry
Ballintaggart	280	Narragh and Reban East	Davidstown	Athy
Ballintine	309	Connell	Kilmeage	Naas
Ballinure	218	Offaly East	Rathangan	Edenderry
Ballitore	637	Narragh and Reban East	Timolin	Baltinglass
Ballyadams	93	Narragh and Reban East	Narraghmore	Athy
Ballybarney	394	Narragh and Reban East	Davidstown	Athy
Ballybought	48	Narragh and Reban West	St. John's	Athy
Ballybought	517	Naas South	Ballybought	Naas
Ballybrack	292	Ikeathy and Oughterany	Clonshanbo	Celbridge
Ballybrack	308	Carbury	Kilpatrick	Edenderry
Ballyburn Lower	367	Kilkea and Moone	Killelan	Athy
Ballyburn Upper	252	Kilkea and Moone	Killelan	Athy
Ballycaghan	385	Ikeathy and Oughterany	Cloncurry	Celbridge
Ballycanon	589	Ikeathy and Oughterany	Cloncurry	Celbridge
Ballycommon	33	South Salt	Clonaghlis	Celbridge
Ballycowan	173	Carbury	Nurney	Edenderry
Ballycullane	440	Narragh and Reban East	Tankardstown	Athy
Ballycullane Lower	237	Kilkea and Moone	Kineagh	Baltinglass
Ballycullane Upper	290	Kilkea and Moone	Kineagh	Baltinglass
Ballycurraghan	77	North Salt	Laraghbryan	Celbridge
Ballydallagh	41	Naas South	Ballymore Eustace	Naas
Ballyfair	140	Offaly East	Ballysax	Naas
Ballyfarson	177	Offaly West	Monasterevin	Athy
Ballygaddy	116	Offaly East	Rathangan	Edenderry
Ballygibbon East	568	Carbury	Carrick	Edenderry
Ballygibbon West	758	Carbury	Carrick	Edenderry
Ballygoran	353	North Salt	Laraghbryan	Celbridge
Ballygreany	441	Offaly West	Duneany	Athy
Ballyhade	287	Kilkea and Moone	Castledermot	Carlow
Ballyhagan	1115	Carbury	Carbury	Edenderry
Ballyhays	136	Naas North	Whitechurch	Naas
Ballykeelan	136	Ikeathy and Oughterany	Cloncurry	Celbridge
Ballykelly	391	Offaly West	Lackagh	Athy
Ballyloughan	119	Ikeathy and Oughterany	Clonshanbo	Celbridge
Ballymadeer	147	South Salt	Stacumny	Celbridge
Ballymakealy Lower	113	North Salt	Killadoon	Celbridge
Ballymakealy Upper	149	North Salt	Killadoon	Celbridge
Ballymany	506	Offaly East	Ballymany	Naas
Ballymore Eustace East	919	Naas South	Ballymore Eustace	Naas
Ballymore Eustace West	381	Naas South	Ballymore Eustace	Naas
Ballymount	315	Narragh and Reban East	Usk	Naas
Ballynabarna	240	Narragh and Reban West	Narraghmore	Athy
Ballynaboley	216	Clane	Clane	Naas
Ballynacarrick Lower	465	Kilkea and Moone	Killelan	Baltinglass
Ballynacarrick Upper	187	Kilkea and Moone	Killelan	Baltinglass
Ballynadrumny	263	Carbury	Ballynadrumny	Edenderry
Ballynafagh	1154	Clane	Ballynafagh	Naas
Ballynagalliagh (or Mayfield)	303	Offaly West	Duneany	Athy
Ballynagappagh	716	Clane	Clane	Naas
Ballynagussaun	203	Narragh and Reban East	Fontstown	Athy
Ballynakill	590	Ikeathy and Oughterany	Cloncurry	Celbridge
Ballynakill	735	Carbury	Ballynadrumny	Edenderry
Ballynakill Lower	338	Carbury	Kilpatrick	Edenderry
Ballynakill Upper	542	Carbury	Kilpatrick	Edenderry
Ballynamony	141	Kilkea and Moone	Kilkea	Athy
Ballynamullagh	611	Carbury	Mylerstown	Edenderry
Ballynasculloge	80	Narragh and Reban West	Churchtown	Athy
Ballyneage (or Hybla)	641	Offaly West	Duneany	Athy
Ballyonan	603	Carbury	Ballynadrumny	Edenderry
Ballyoulster	73	South Salt	Donaghcumper	Celbridge
Ballyraggan	714	Kilkea and Moone	Graney	Baltinglass
Ballyroe	427	Narragh and Reban West	Churchtown	Athy
Ballyroe	356	Kilkea and Moone	Tankardstown	Athy
Ballysax Great	772	Offaly East	Ballysax	Naas
Ballysax Little	271	Offaly East	Ballysax	Naas
Ballysaxhills	446	Offaly East	Ballysax	Naas
Ballysaxplain	383	Offaly East	Ballysax	Naas
Ballyshannon	227	Offaly West	Ballyshannon	Athy
Ballyshannon	141	Carbury	Ardkill	Edenderry
Ballyshannon Demesne	161	Offaly West	Ballyshannon	Athy
Ballysize	206	Clane	Brideschurch	Naas
Ballysooghan	600	Offaly East	Rathangan	Edenderry
Ballysooghan	177	Offaly East	Rathangan	Edenderry
Ballyteige	162	Ikeathy and Oughterany	Scullogestown	Celbridge
Ballyteige North	876	Connell	Kilmeage	Naas
Ballyteige South	543	Connell	Kilmeage	Naas
Ballyvannan	50	Kilkea and Moone	Castledermot	Athy
Ballyvarney	197	Offaly West	Walterstown	Athy
Ballyvass	765	Kilkea and Moone	Castledermot	Athy
Ballyvoneen	612	Ikeathy and Oughterany	Cloncurry	Celbridge
Balrinnet	402	Carbury	Nurney	Edenderry
