Week #	Theme	Song choice	Original artist	Order #	Result
Audition	N/A	" Like a Star "	Corinne Bailey Rae	N/A	Advanced
Hollywood	N/A	"Beautiful"	Carole King	N/A	Advanced
Hollywood	N/A	"God Only Knows"	The Beach Boys	N/A	Advanced
Top 24 (12 Women)	1960s	" Happy Together "	The Turtles	6	Safe
Top 20 (10 Women)	1970s	" You're So Vain "	Carly Simon	3	Safe
Top 16 (8 Women)	1980s	" Love Is a Battlefield "	Pat Benatar	7	Safe
Top 12	Lennon–McCartney	" Let It Be "	The Beatles	7	Safe
Top 11	The Beatles	" Here Comes the Sun "	The Beatles	5	Safe
Top 10	Year They Were Born	" Every Breath You Take "	The Police	5	Safe
Top 9	Dolly Parton	" Jolene "	Dolly Parton	1	Bottom 3
Top 8	Inspirational Music	" You've Got a Friend "	Carole King	8	Safe
Top 7	Mariah Carey	" Hero "	Mariah Carey	4	Bottom 2
Top 6	Andrew Lloyd Webber	" You Must Love Me "	Madonna	3	Safe
Top 5	Neil Diamond	" I'm a Believer " " I Am...I Said "	The Monkees Neil Diamond	3 8	Eliminated
