Series #	Episode #	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
27	1	"The Captain"	Clark Mathis	Eric Falconer	September21,2011	0.891
28	2	"Dic Pics"	John Fortenberry	JD Ryznar	September21,2011	N/A
29	3	"Thad's Back"	Clark Mathis	Heather Flanders	September28,2011	0.884
30	4	"The Peak"	Jay Chandrasekhar	Drew Hancock	October5,2011	0.871
31	5	"Training Day"	Eric Appel	Heather Flanders	October12,2011	0.852
32	6	"Blackout"	John Fortenberry	Kristofor Brown	October19,2011	0.645
33	7	"Superstition"	Jay Chandrasekhar	Kristofor Brown	October26,2011	0.884
34	8	"Fun Facts"	Eric Appel	J.D. Ryznar	November2,2011	0.944
35	9	"The C-Word"	Dean Holland	Chris Romano	November5,2011	N/A
36	10	"One Week"	Dean Holland	Ryan Ridley	November9,2011	N/A
