Year	Champion	Runner-up	Score	Name
2013	Albert Montañés	Gaël Monfils	6–0, 7–6 (7–3)	Open de Nice Côte d'Azur
2012	Nicolás Almagro	Brian Baker	6–3, 6–2	Open de Nice Côte d'Azur
2011	Nicolás Almagro	Victor Hănescu	6–7 (5–7) , 6–3, 6–3	Open de Nice Côte d'Azur
2010	Richard Gasquet	Fernando Verdasco	6–3, 5–7, 7–6 (7–5)	Open de Nice Côte d'Azur
1996–2009	Not Held	Not Held	Not Held	Not Held
1995	Marc Rosset	Yevgeny Kafelnikov	6–4, 6–0	Philips Open
1994	Alberto Berasategui	Jim Courier	6–4, 6–2	Philips Open
1993	Marc-Kevin Goellner	Ivan Lendl	1–6, 6–4, 6–2	Philips Open
1992	Gabriel Markus	Javier Sánchez	6–4, 6–4	Philips Open
1991	Martín Jaite	Goran Prpić	3–6, 7–6, 6–3	Philips Open
1990	Juan Aguilera	Guy Forget	2–6, 6–3, 6–4	Philips Open
1989	Andrei Chesnokov	Jérôme Potier	6–4, 6–4	Swatch Open
1988	Henri Leconte	Jérôme Potier	6–2, 6–2	Swatch Open
1987	Kent Carlsson	Emilio Sánchez	7–6, 6–3	Nice International Open
1986	Emilio Sánchez	Paul McNamee	6–1, 6–3	Nice International Open
1985	Henri Leconte	Víctor Pecci	6–4, 6–4	Nice International Open
1984	Andrés Gómez	Henrik Sundström	6–1, 6–4	Nice International Open
1983	Henrik Sundström	Manuel Orantes	7–5, 4–6, 6–3	Nice International Open
1982	Balázs Taróczy	Yannick Noah	6–2, 3–6, 13–11	Nice International Open
1981	Yannick Noah	Mario Martinez	6–4, 6–2	Donnay International Open
1980	Björn Borg	Manuel Orantes	6–2, 6–0, 6–1	Nice International Open
1979	Víctor Pecci	John Alexander	6–3, 6–2, 7–5	Nice International Open
1978	José Higueras	Yannick Noah	6–3, 6–4, 6–4	Montano-Snauwaert International Championships
1977	Björn Borg	Guillermo Vilas	6–4, 1–6, 6–2, 6–0	Nice International Championships
1976	Corrado Barazzutti	Jan Kodeš	6–2, 2–6, 5–7, 7–6, 8–6	Nice International Championships
1975	Dick Crealy	Iván Molina	7–6, 6–4, 6–3	Nice International Championships
1973	Manuel Orantes	Adriano Panatta	7–6, 5–7, 4–6, 7–6, 12–10	Craven International Championships
1972	Ilie Năstase	Jan Kodeš	6–0, 6–4, 6–3	Nice International Championships
1971	Ilie Năstase	Jan Kodeš	10–8, 11–9, 6–1	Nice International Championships
