Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
16	December 2	Cleveland	80–70	Allen (20)	Garnett (8)	Allen , Garnett , House , Pierce (3)	TD Banknorth Garden 18,624	14–2
17	December 5	@ Philadelphia	113–103	Garnett (22)	Garnett (7)	Pierce (12)	Wachovia Center 15,779	15–2
18	December 7	Toronto	112–84	Garnett (23)	Posey (10)	Rondo (7)	TD Banknorth Garden 18,624	16–2
19	December 8	@ Chicago	92–81	Allen (21)	Davis (12)	Pierce (7)	United Center 22,778	17–2
20	December 12	Sacramento	90–78	Pierce (26)	Davis (9)	Rondo (5)	TD Banknorth Garden 18,624	18–2
21	December 14	Milwaukee	104–82	Pierce (32)	Garnett (7)	Rondo (8)	TD Banknorth Garden 18,624	19–2
22	December 16	@ Toronto	90–77	Pierce (18)	Garnett (8)	Garnett (6)	Air Canada Centre 19,800	20–2
23	December 19	Detroit	85–87	Garnett (26)	Garnett (12)	Rondo (7)	TD Banknorth Garden 18,624	20–3
24	December 21	Chicago	107–82	Pierce (22)	Garnett , Pierce , Rondo (7)	Garnett (5)	TD Banknorth Garden 18,624	21–3
25	December 23	Orlando	103–91	Pierce (24)	Garnett , Perkins (12)	Pierce , Rondo (6)	TD Banknorth Garden 18,624	22–3
26	December 26	@ Sacramento	89–69	Allen (17)	Garnett (10)	Pierce (6)	ARCO Arena 17,317	23–3
27	December 27	@ Seattle	104–96	Pierce (37)	Garnett (14)	Rondo (5)	KeyArena 17,072	24–3
28	December 29	@ Utah	104–98	Pierce (24)	Garnett , Perkins (9)	Rondo (7)	EnergySolutions Arena 19,911	25–3
29	December 30	@ L.A. Lakers	110–91	Pierce (33)	Garnett (12)	Garnett (6)	Staples Center 18,997	26–3
