NIR Number	Introduced	BR Number(s)	Built	Type
911 / 8911	1981	14104	1969 Derby	Generator Van (ex- Mark 2B BFK)
8941	2001	6089 / 72634	1974 Derby	TSO (ex-BR Class 488 unit 488318)
8942	2001	6098 / 72637	1974 Derby	TSO (ex-BR Class 488 unit 488318)
8943	2001	6082 / 72605	1974 Derby	TSO (ex-BR Class 488 unit 488305)
8944	2001	6080 / 72609	1974 Derby	TSO (ex-BR Class 488 unit 488305)
8945	2001	6017 / 72626	1974 Derby	TSO (ex-BR Class 488 unit 488314)
8946	2001	5974 / 72627	1974 Derby	TSO (ex-BR Class 488 unit 488314)
8947	2001	6078 / 72646	1974 Derby	TSO (ex-BR Class 488 unit 488319)
8948	2001	6081 / 72647	1974 Derby	TSO (ex-BR Class 488 unit 488319)
8918	(2009)	9534 / 9712	1974 Derby Rebuilt 1985 Glasgow	DBSO (ex- Mark 2F BSO)
