Place	Player	Country	Score	To par	Money ( $ )
1	John Daly	United States	69-67-69-71=276	–12	230,000
2	Bruce Lietzke	United States	68-69-72-70=279	–9	140,000
3	Jim Gallagher, Jr.	United States	70-72-72-67=281	–7	95,000
4	Kenny Knox	United States	67-71-70-74=282	–6	75,000
T5	Bob Gilder	United States	73-70-67-73=283	–5	60,000
T5	Steven Richardson	England	70-72-72-69=283	–5	60,000
T7	David Feherty	Northern Ireland	71-74-71-68=284	–4	38,000
T7	Raymond Floyd	United States	69-74-72-69=284	–4	38,000
T7	John Huston	United States	70-72-70-72=284	–4	38,000
T7	Steve Pate	United States	70-75-70-69=284	–4	38,000
T7	Craig Stadler	United States	68-71-69-76=284	–4	38,000
T7	Hal Sutton	United States	74-67-72-71=284	–4	38,000
