Date	Cover model	Centerfold model	Interview subject	20 Questions	Pictorials
1-07	Pamela Anderson	Jayde Nicole	T. Boone Pickens	Ellen Pompeo	Pamela Anderson
2-07	Tricia Helfer	Heather Rene Smith	Simon Cowell	Bettie Page	Tricia Helfer, Michelle Manhart
3-07	Mariah Carey	Tyran Richard	Jeremy Piven	Mariah Carey	Erica Chevillar
4-07	Ashley Massaro	Giuliana Marino	Bill Maher	Will Arnett	Ashley Massaro, International Playmates
5-07	Anna Nicole Smith	Shannon James	Steve Nash	Fergie	Girls of Conference USA , Anna Nicole Smith
6-07	Kristine Lefebvre	Brittany Binger	Matt Groening	Don Rickles	PMOY - Sara Jean Underwood
7-07	Amanda Beard	Tiffany Selby	Bruce Willis	Danica Patrick	Amanda Beard, Reby Sky , Girls of Montauk
9-07	Amanda Paige	Patrice Hollis	Clive Owen	Jaime Pressly	Christa Campbell
10-07	Giuliana Marino	Spencer Scott	Keith Olbermann	Ali Larter	Girls of the SEC , Alicia Machado
11-07	Lindsey Roeper	Lindsay Wagner	Robert Redford	Matt Leinart	Kimberly Bell , Bunnies of the New Playboy Club
