Round	Player	Nationality	NHL team	College/Junior/Club team (league)
1	Thomas Hickey (D)	Canada	Los Angeles Kings	Seattle Thunderbirds ( WHL )
2	Oscar Moller (C)	Sweden	Los Angeles Kings	Chilliwack Bruins ( WHL )
2	Wayne Simmonds (RW)	Canada	Los Angeles Kings	Owen Sound Attack ( WHL )
3	Bryan Cameron (C)	Canada	Los Angeles Kings	Belleville Bulls ( OHL )
4	Alec Martinez (D)	United States	Los Angeles Kings	Miami University ( NCAA )
4	Dwight King (C)	Canada	Los Angeles Kings	Lethbridge Hurricanes ( WHL )
5	Linden Rowat (G)	Canada	Los Angeles Kings	Regina Pats ( WHL )
5	Joshua Turnbull (C)	United States	Los Angeles Kings	Waterloo Black Hawks ( USHL )
7	Josh Kidd (D)	Canada	Los Angeles Kings	Erie Otters ( OHL )
7	Matt Fillier (LW)	Canada	Los Angeles Kings	St. John's Fog Devils ( QMJHL )
