Season	League	Finish	Wins	Losses	Ties
1946	AAFC	2nd	9	5	0
1947	AAFC	2nd	8	4	2
1948	AAFC	2nd	12	2	0
1949	AAFC	2nd	9	3	0
1950	NFL	5th	3	9	0
1951	NFL	3rd	7	4	1
1952	NFL	3rd	7	5	0
1953	NFL	3rd	9	3	0
1954	NFL	3rd	7	4	1
1955	NFL	5th	4	8	0
1956	NFL	3rd	5	6	1
1957	NFL	2nd	8	4	0
1958	NFL	4th	6	6	0
1959	NFL	4th	7	5	0
1960	NFL	3rd	7	5	0
1961	NFL	5th	7	6	1
1962	NFL	5th	6	8	0
1963	NFL	7th	2	12	0
1964	NFL	7th	4	10	0
1965	NFL	4th	7	6	1
1966	NFL	4th	6	6	2
1967	NFL	3rd	7	7	0
1968	NFL	3rd	7	6	1
1969	NFL	4th	4	8	2
1970	NFL	1st	10	3	1
1971	NFL	1st	9	5	0
1972	NFL	1st	8	5	1
1973	NFL	4th	5	9	0
1974	NFL	2nd	6	8	0
1975	NFL	2nd	5	9	0
1976	NFL	2nd	8	6	0
1977	NFL	3rd	5	9	0
1978	NFL	4th	2	14	0
1979	NFL	4th	2	14	0
1980	NFL	3rd	6	10	0
1981	NFL	1st	13	3	0
1982	NFL	11th 1	3	6	0
1983	NFL	1st	10	6	0
1984	NFL	1st	15	1	0
1985	NFL	2nd	10	6	0
1986	NFL	1st	10	5	1
1987	NFL	1st	13	2	0
1988	NFL	1st	10	6	0
1989	NFL	1st	14	2	0
1990	NFL	1st	14	2	0
1991	NFL	3rd	10	6	0
1992	NFL	1st	14	2	0
1993	NFL	1st	10	6	0
1994	NFL	1st	13	3	0
1995	NFL	1st	11	5	0
1996	NFL	2nd	12	4	0
1997	NFL	1st	13	3	0
1998	NFL	2nd	12	4	0
1999	NFL	4th	4	12	0
2000	NFL	4th	6	10	0
2001	NFL	2nd	12	4	0
2002	NFL	1st	10	6	0
2003	NFL	3rd	7	9	0
2004	NFL	4th	2	14	0
2005	NFL	4th	4	12	0
2006	NFL	3rd	7	9	0
2007	NFL	3rd	5	11	0
2008	NFL	2nd	7	9	0
2009	NFL	2nd	8	8	0
2010	NFL	3rd	6	10	0
2011	NFL	1st	13	3	0
2012	NFL	1st	11	4	1
2013	NFL	2nd	6	2	0
