Name	Years	Gender	Area	Authority	Decile	Roll
Amisfield School	1–8	Coed	Tokoroa	State	4	252
Bishop Edward Gaines Catholic School	1–8	Coed	Tokoroa	State integrated	4	35
Cargill Open Plan School	1–6	Coed	Tokoroa	State	3	113
David Henry School	1–6	Coed	Tokoroa	State	2	138
Forest View High School	9–15	Coed	Tokoroa	State	3	494
Kuranui Primary School	1–6	Coed	Tirau	State	7	42
Lichfield School	1–6	Coed	Putaruru	State	7	72
Pa Harakeke Teen Parent Unit	–	–	Tokoroa	State	1	n/a
Putaruru College	7–15	Coed	Putaruru	State	3	375
Putaruru Primary School	1–6	Coed	Putaruru	State	2	213
St Mary's Catholic School	1–8	Coed	Putaruru	State integrated	4	201
Strathmore School	1–6	Coed	Tokoroa	State	1	216
Tainui Full Primary School	1–8	Coed	Tokoroa	State	2	205
Te Waotu School	1–8	Coed	Putaruru	State	8	135
Te Wharekura o Te Kaokaoroa o Patetere	1–15	Coed	Putaruru	State	1	171
Tirau Primary School	1–6	Coed	Tirau	State	5	97
TKKM o Te Hiringa	1–8	Coed	Tokoroa	State	1	33
Tokoroa Central School	1–6	Coed	Tokoroa	State	1	81
Tokoroa High School	9–15	Coed	Tokoroa	State	2	480
Tokoroa Intermediate	7–8	Coed	Tokoroa	State	2	329
Tokoroa North School	1–6	Coed	Tokoroa	State	4	456
