Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
4-01	40	S02E14	Plastic Bottles & s Jar	Mail	s Egg	ed Handcraft en Wood s Pen
4-02	41	S02E15	Plastic Injection Moulds	Automotive Oil Filters	Filing Cabinets	Blown Glass
4-03	42	S02E16	High-Precision Cutting Tools	Stained Glass	s Semi-trailer	s Recorder
4-04	43	S02E17	Conga Drums	Metal Plating	s Button (Part 1)	s Button (Part 2)
4-05	44	S02E18	Grinding Wheels	Compost	Window Blinds	Milk
4-06	45	S02E19	es Brush and Push Brooms	s Blackboard	Smoked Salmon	s Zipper
4-07	46	S02E20	3D Commercial Signs	Hardwood Floors	Corrugated Polyethylene Pipe	es Mattress
4-08	47	S02E21	Ceramic Tiles	Nuts	Steel Forgings	s Skateboard
4-09	48	S02E22	Car Engines	Flour	s Recliner	s Envelope
4-10	49	S02E23	Plastic Cups and Cutlery	Special Effects Makeup	Gold	s Harp
4-11	50	S02E24	Laminate	s Frozen Treat	Children's Building Blocks	s Detergent
4-12	51	S02E25	s Decorative Moulding	Commercial Pulleys	Industrial Rubber Hose	Sheet Vinyl Flooring
4-13	52	S02E26	Putty Knives	Garage Doors	Electric Motors	Wool
