Dam constructed	Year completed	Impounded body of water	Reservoir capacity	Dam wall height	Dam type
Blowering Dam	1968	Blowering Reservoir	ML ( × 10 ^6cuft)	m (ft)	Rockfill embankment
Deep Creek Dam	1961	Deep Creek Reservoir	ML ( × 10 ^6cuft)	m (ft)	Concrete gravity
Eucumbene Dam	1958	Lake Eucumbene	ML ( × 10 ^6cuft)	m (ft)	Earthfill embankment
Geehi Dam	1966	Geehi Reservoir	ML ( × 10 ^6cuft)	m (ft)	Rockfill embankment
Guthega Dam	1955	Guthega Reservoir	ML ( × 10 ^6cuft)	m (ft)	Concrete gravity
Happy Jacks Dam	1959	Happy Jacks Pondage	ML ( × 10 ^6cuft)	m (ft)	Concrete gravity
Island Bend Dam	1965	Island Bend Pondage	ML ( × 10 ^6cuft)	m (ft)	Concrete gravity
Jindabyne Dam	1967	Lake Jindabyne	ML ( × 10 ^6cuft)	m (ft)	Rockfill embankment
Jounama Dam	1968	Jounama Pondage	ML ( × 10 ^6cuft)	m (ft)	Rockfill embankment
Khancoban Dam	1966	Khancoban Reservoir	ML ( × 10 ^6cuft)	m (ft)	Earthfill embankment
Murray Two Dam	1968	Murray Two Pondage	ML ( × 10 ^6cuft)	m (ft)	Concrete arch
Talbingo Dam	1970	Talbingo Reservoir	ML ( × 10 ^6cuft)	m (ft)	Rockfill embankment
Tantangara Dam	1960	Tantangara Reservoir	ML ( × 10 ^6cuft)	m (ft)	Concrete gravity
Tooma Dam	1961	Tooma Reservoir	ML ( × 10 ^6cuft)	m (ft)	Concrete embankment
Tumut Pond Dam	1959	Tumut Pond Reservoir	ML ( × 10 ^6cuft)	m (ft)	Concrete arch
Tumut Two Dam	1961	Tumut Two Pondage	ML ( × 10 ^6cuft)	m (ft)	Concrete gravity
