Driver	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	Newman/Haas Racing	90	1:40:25.232	1	35
Paul Tracy	Forsythe Racing	90	+7.446 secs	3	28
Bruno Junqueira	Newman/Haas Racing	90	+8.171 secs	2	26
Mario Domínguez	Herdez Competition	90	+8.561 secs	5	23
A. J. Allmendinger	RuSPORT	90	+15.641 secs	7	21
Oriol Servià	Dale Coyne Racing	90	+19.256 secs	6	19
Justin Wilson	Mi-Jack Conquest Racing	90	+20.786 secs	10	17
Mario Haberfeld	Walker Racing	90	+24.141 secs	9	15
Patrick Carpentier	Forsythe Racing	90	+25.371 secs	4	13
Alex Tagliani	Rocketsports Racing	89	+ 1 Lap	11	11
Rodolfo Lavín	Forsythe Racing	88	+ 2 Laps	15	10
Roberto González	PKV Racing	88	+ 2 Laps	18	10
Nelson Philippe	Mi-Jack Conquest Racing	87	+ 3 Laps	14	8
Michel Jourdain, Jr.	RuSPORT	86	+ 4 Laps	13	7
Gastón Mazzacane	Dale Coyne Racing	86	+ 4 Laps	17	6
Ryan Hunter-Reay	Herdez Competition	72	Contact	8	5
Jimmy Vasser	PKV Racing	63	Engine	12	4
Guy Smith	Rocketsports Racing	56	Electrical	16	3
