Week	Date	Opponent	Result	Attendance
1	September 19, 1971	Kansas City Chiefs	W 21–14	54,061
2	September 26, 1971	Oakland Raiders	L 34–0	54,084
3	October 3, 1971	at Pittsburgh Steelers	L 21–17	44,339
4	October 10, 1971	at Kansas City Chiefs	L 31–10	50,514
5	October 17, 1971	at Denver Broncos	L 20–16	51,200
6	October 23, 1971	Buffalo Bills	W 20–3	49,261
7	October 31, 1971	New York Jets	W 49–21	44,786
8	November 7, 1971	at New York Giants	L 35–17	62,905
9	November 15, 1971	St. Louis Cardinals	W 20–17	46,486
10	November 21, 1971	at Oakland Raiders	L 34–33	54,681
11	November 28, 1971	at Cincinnati Bengals	L 31–0	59,580
12	December 5, 1971	Minnesota Vikings	W 30–14	54,505
13	December 12, 1971	Denver Broncos	W 45–17	44,347
14	December 19, 1971	at Houston Oilers	L 49–33	35,959
