Country	Total Drivers	Champions	Championships	Current September 22, 2013	First driver(s)	Last/Current driver(s) September 22, 2013
Argentina	3	0	0	0	Juan Cruz Álvarez , José María López ( 2005 )	Ricardo Risatti ( 2007 )
Austria	2	0	0	1	Mathias Lauda ( 2005 )	René Binder
Belgium	1	0	0	0	Jérôme d'Ambrosio ( 2008 )	Jérôme d'Ambrosio ( 2010 )
Brazil	12	0	0	1	Alexandre Negrão , Nelson Piquet Jr. ( 2005 )	Felipe Nasr
Bulgaria	1	0	0	0	Vladimir Arabadzhiev ( 2010 )	Vladimir Arabadzhiev ( 2010 )
Canada	1	0	0	1	Gianmarco Raimondo ( 2013 )	Gianmarco Raimondo
China	2	0	0	0	Ho-Pin Tung ( 2007 )	Ma Qinghua ( 2013 )
Colombia	1	0	0	1	Julián Leal ( 2013 )	Julián Leal
Czech Republic	1	0	0	0	Josef Král ( 2010 )	Josef Král ( 2012 )
Denmark	1	0	0	0	Christian Bakkerud ( 2007 )	Christian Bakkerud ( 2008 )
Estonia	1	0	0	0	Marko Asmer ( 2008 )	Marko Asmer ( 2008 )
Finland	4	0	0	0	Heikki Kovalainen ( 2005 )	Markus Niemelä ( 2007 )
Germany	7	3 ( Rosberg , Glock , Hülkenberg )	3 ( 2005 , 2007 , 2009 )	1	Nico Rosberg ( 2005 )	Daniel Abt
India	1	0	0	0	Karun Chandhok ( 2007 )	Karun Chandhok ( 2009 )
Indonesia	1	0	0	1	Rio Haryanto ( 2012 )	Rio Haryanto
Japan	5	0	0	0	Hiroki Yoshimoto ( 2005 )	Kamui Kobayashi ( 2009 )
Malaysia	1	0	0	0	Fairuz Fauzy ( 2005 )	Fairuz Fauzy ( 2011 )
Mexico	2	0	0	0	Sergio Pérez ( 2009 )	Esteban Gutiérrez ( 2012 )
Monaco	3	0	0	2	Clivio Piccione ( 2005 )	Stefano Coletti , Stéphane Richelmi
Netherlands	5	0	0	1	Yelmer Buurman ( 2008 )	Daniël de Jong
New Zealand	2	0	0	1	Brendon Hartley ( 2010 )	Mitch Evans
Norway	1	0	0	0	Pål Varhaug ( 2011 )	Pål Varhaug ( 2013 )
Portugal	3	0	0	1	Filipe Albuquerque ( 2007 )	Ricardo Teixeira
Romania	1	0	0	0	Michael Herck ( 2008 )	Michael Herck ( 2011 )
Russia	2	0	0	0	Vitaly Petrov ( 2006 )	Mikhail Aleshin ( 2011 )
Serbia	1	0	0	0	Miloš Pavlović ( 2008 )	Miloš Pavlović ( 2008 )
South Africa	1	0	0	0	Adrian Zaugg ( 2007 )	Adrian Zaugg ( 2010 )
Spain	10	0	0	2	Borja García , Sergio Hernández ( 2005 )	Sergio Canamasas , Dani Clos
Sweden	1	0	0	1	Marcus Ericsson ( 2010 )	Marcus Ericsson
Switzerland	5	0	0	2	Neel Jani ( 2005 )	Fabio Leimer , Simon Trummer
Turkey	2	0	0	0	Can Artam ( 2005 )	Jason Tahincioglu ( 2007 )
United Arab Emirates	1	0	0	0	Andreas Zuber ( 2006 )	Andreas Zuber ( 2009 )
United States	4	0	0	2	Scott Speed ( 2005 )	Jake Rosenzweig , Alexander Rossi
