Name	Years	Gender	Area	Authority	Decile	Roll
Arrowtown School	1–8	Coed	Arrowtown	State	10	498
Glenorchy School	1–8	Coed	Glenorchy	State	9	28
Hawea Flat School	1–6	Coed	Hawea Flat	State	10	160
Holy Family School	1–8	Coed	Wanaka	State integrated	10	122
KingsView School	1–8	Coed	Frankton	State integrated	10	20
Makarora Primary School	1–8	Coed	Makarora	State	7	15
Mount Aspiring College	7–13	Coed	Wanaka	State	10	711
Queenstown School	1–6	Coed	Queenstown	State	10	627
Remarkables Primary School	1–8	Coed	Frankton	State	10	495
St Joseph's School	1–8	Coed	Queenstown	State integrated	10	141
Wakatipu High School	9–13	Coed	Queenstown	State	10	720
Wanaka Primary School	1–6	Coed	Wanaka	State	10	527
