Region	Date	Label	Format	Catalog
United Kingdom	7 April 1972	Chrysalis Records	stereo LP	CHR 1006
United Kingdom	7 April 1972	Chrysalis, Island Records	mono 8-track	Y8HR 1006
United Kingdom	1972	Chrysalis	stereo 8-track	Y8HR 1006
United Kingdom	1972	Chrysalis	stereo compact cassette	ZCHR 1006
Germany	1972	Chrysalis	stereo LP	6307 504
Spain	1972	Chrysalis	stereo LP	6307 504
United States	October 1972	Chrysalis	stereo LP	CHR 1006
United States	1972	Chrysalis	Reel-to-reel tape (7½ in/s)	CHR 1006-C
Canada	October 1972	Chrysalis	stereo LP	CHR 1006
Australia	1972	Chrysalis	stereo LP	SCYL-934,623
New Zealand	1972	Chrysalis	stereo LP	SCYL-934,623
New Zealand	1972	Chrysalis	stereo compact cassette	CY-24623
United Kingdom	September 1991	Edsel Records	CD	ED CD 334
