Year	Event	Category	Nominated work	Result
2010	47th Grand Bell Awards	Hallyu Popularity	71: Into the Fire	Won
2010	47th Grand Bell Awards	Best New Actor	71: Into the Fire	Nominated
2010	8th Korea Film Awards	Best New Actor	71: Into the Fire	Nominated
2010	Style Icon Awards	New Icon (Movie) (Korean)	71: Into the Fire	Won
2010	31st Blue Dragon Film Awards	Best New Actor	71: Into the Fire	Won
2010	31st Blue Dragon Film Awards	Popularity	71: Into the Fire	Won
2010	Max Movie Award	Best New Actor	71: Into the Fire	Won
2010	5th Asian Film Awards	Best New Actor	71: Into the Fire	Nominated
2010	47th Paeksang Arts Award	Best New Actor	71: Into the Fire	Won
2010	47th Paeksang Arts Award	Popularity Award (Actor in a Motion Picture)	71: Into the Fire	Won
2013	17th BIFF Asia Star Awards	Rookie Awards	Commitment	Won
