Pick	Player	Country of origin*	PBA team	College
1	Yancy de Ocampo *	Philippines	FedEx Express	St. Francis
2	Rafi Reavis	United States	Coca-Cola Tigers	Coppin State
3	Omanzie Rodriguez	Philippines	Sta. Lucia Realtors	Mapua
4	Chris Calaguio #	Philippines	Shell Turbo Chargers	Letran
5	Homer Se	Philippines	Red Bull Thunder	San Sebastian
6	Migs Noble	United States	Alaska Aces	Utica
7	Eric Canlas	Philippines	Shell Turbo Chargers	St. Francis
8	Ren-Ren Ritualo	Philippines	FedEx Express	La Salle-Manila
9	Chester Tolomia	Philippines	Barangay Ginebra Kings	Perpetual Help
10	Leo Avenido	Philippines	Coca-Cola Tigers	Far Eastern
