Country	Total Drivers	Championship Titles	Race entries (Starts)	Poles	Wins	Podiums	Fastest Laps	Points
Argentina	11	0	119 (113)	0	0	3	2	64
Australia	9	0	90 (79)	2	4	9	5	80
Austria	8	0	126 (103)	0	2	11	1	123
Belgium	17	0	265 (236)	6	6	22	2	233
Brazil	30	4 ( 1988 , 1991 , 1997 , 2000 )	511 (472)	35	28	85	24	717
Canada	7	0	74 (61)	1	0	2	1	18
Chile	1	0	20 (14)	0	0	0	1	1.5
Colombia	1	1 ( 1998 )	22	10	7	13	7	102.5
Czech Republic	2	0	69 (65)	8	6	16	10	169
Denmark	6	0	104 (97)	8	7	26	5	199
Finland	2	0	41 (22)	0	0	0	0	6
France	69	5 ( 1989 , 1990 , 1993 , 1994 , 2002 )	1092 (986)	43	42	124	44	1051
Germany	21	3 ( 1985 , 1996 , 1999 )	241 (194)	11	13	34	18	283 (284)
Hungary	1	0	28 (27)	0	0	0	0	7
Indonesia	1	0	13 (10)	0	0	0	0	0
Ireland	3	0	4 (3)	0	0	0	0	0
Israel	1	0	3	0	0	0	0	0
Italy	88	5 ( 1986 , 1987 , 1992 , 1995 , 2004 )	1298 (1070)	42	50	126	45	1207.5 (1208.5)
Japan	8	0	66 (58)	0	0	1	0	13
Macau	1	0	32 (30)	0	0	2	0	15
Malaysia	1	0	4 (2)	0	0	0	0	0
Mexico	2	0	9 (3)	0	0	0	0	0
Monaco	1	0	19	1	1	1	0	20
Netherlands	6	0	58 (52)	0	1	4	1	49
New Zealand	1	0	16	5	4	7	4	55.5
Norway	1	0	10 (5)	0	0	0	0	0
Portugal	5	0	79 (71)	2	1	5	3	51
Russia	1	0	32 (17)	0	0	0	0	0
San Marino	1	0	1	0	0	0	0	0
South Africa	7	0	73 (67)	0	0	1	0	14
Spain	11	0	108 (77)	4	6	11	5	100.5
Sweden	10	1 ( 2003 )	139 (127)	11	9	25	10	206
Switzerland	14	0	185 (127)	2	2	9	1	76
Turkey	1	0	9	0	0	0	0	0
United Kingdom	50	1 ( 2001 )	723 (579)	14	13	63	15	462.5
United States	11	0	78 (66)	0	0	1	0	24
Uruguay	1	0	29 (27)	0	3	7	4	60.5
Venezuela	1	0	6	0	0	0	0	7
