No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
81	1	"We'll Follow the Sun"	Gerry Cohen	Ron Leavitt & Michael G. Moye	September 23, 1990	5.01
82	2	"Al... with Kelly"	Gerry Cohen	Stacie Lipp & Gabrielle Topping	September 30, 1990	5.02
83	3	"Sue Casa, His Casa"	Gerry Cohen	Kevin Curran	October 7, 1990	5.03
84	4	"The Unnatural"	Gerry Cohen	Katherine Green	October 14, 1990	5.04
85	5	"The Dance Show"	Gerry Cohen	Arthur Silver	October 21, 1990	5.05
86	6	"Kelly Bounces Back"	Gerry Cohen	Al Aidekman	October 28, 1990	5.06
87	7	"Married... with Aliens"	Gerry Cohen	Ellen L. Fogle	November 4, 1990	5.07
88	8	"Wabbit Season"	Gerry Cohen	Ron Leavitt & Michael G. Moye	November 11, 1990	5.08
89	9	"Do Ya Think I'm Sexy"	Gerry Cohen	Kevin Curran	November 18, 1990	5.09
90	10	"One Down, Two to Go"	Gerry Cohen	Ralph R. Farquhar	November 25, 1990	5.10
91	11	"And Baby Makes Money"	Gerry Cohen	Art Everett	December 16, 1990	5.11
92	12	"Married... with Who"	Gerry Cohen	Ellen L. Fogle	January 6, 1991	5.12
93	13	"The Godfather"	Gerry Cohen	Ralph R. Farquhar	February 3, 1991	5.13
94	14	"Look Who's Barking"	Gerry Cohen	Katherine Green	February 10, 1991	5.14
95	15	"A Man's Castle"	Gerry Cohen	Stacie Lipp	February 17, 1991	5.15
96	16	"All Night Security Dude"	Gerry Cohen	Glen Eichler & Peter Gaffney	February 24, 1991	5.16
97	17	"Oldies But Young 'Uns"	Gerry Cohen	Bill Prady	March 17, 1991	5.17
98	18	"Weenie Tot Lovers & Other Strangers"	Gerry Cohen	Kevin Curran	March 24, 1991	5.18
99	19	"Kids! Wadaya Gonna Do?"	Linda Day	Ellen L. Fogle	April 7, 1991	5.19
100	20	" Top of the Heap "	Gerry Cohen	Ron Leavitt & Arthur Silver	April 7, 1991	5.20
101	21	"You Better Shop Around (Part 1)"	Linda Day	J.D. Brangato & Michael Ferris	April 14, 1991	5.21
102	22	"You Better Shop Around (Part 2)"	Linda Day	Stacie Lipp	April 21, 1991	5.22
103	23	"Route 666 (Part 1)"	Gerry Cohen	Katherine Green	April 28, 1991	5.23
104	24	"Route 666 (Part 2)"	Gerry Cohen	Ralph R. Farquhar	May 5, 1991	5.24
